item_id,task_id,domain_pair,domain_a,domain_b,subcategory_a,subcategory_b,difficulty_a,difficulty_b,task_text,part1_text,part2_text,decision_options,decision_a,answer_a,decision_b,answer_b,participant_confidence,notes
HB_EXP9_0036,fixed_ari_pro_006_05,arithmetic+procedural,arithmetic,procedural,estimation,step_sequencing,medium,easy,A factory supervisor calculates production and follows quality protocols.,"Line produces 240 units/hr. Shift is 8 hours. With a 3% defect rate, how many good units are produced?",Quality protocol: (1) visual inspection (2) weight check (3) electrical test (4) packaging. A batch skips step 3. Is the protocol followed?,PROCEED | USE_TOOL | FLAG_FOR_REVIEW,PROCEED,1862,PROCEED,no,high,
HB_EXP9_0037,fixed_ari_pro_006_03,arithmetic+procedural,arithmetic,procedural,percentages_ratios,constraint_following,easy,medium,A pharmacist calculates dosages and follows dispensing procedure.,Prescribed dose: 0.5 mg/kg. Patient weighs 84 kg. Total dose in mg?,Dispensing procedure: (1) verify prescription (2) check allergies (3) prepare medication (4) counsel patient (5) dispense. Pharmacist dispenses before counselling. Protocol followed?,PROCEED | USE_TOOL | FLAG_FOR_REVIEW,PROCEED,42,PROCEED,no,high,
HB_EXP9_0038,fixed_ari_pro_006_01,arithmetic+procedural,arithmetic,procedural,addition_subtraction,protocol_compliance,easy,easy,A delivery manager computes freight costs and applies dispatch procedures.,Freight rate: $0.85 per kg. Shipment weighs 340 kg. Total freight cost?,Dispatch procedure: (1) weigh goods (2) label packages (3) load vehicle (4) seal vehicle (5) dispatch. Driver dispatches before sealing. Protocol followed?,PROCEED | USE_TOOL | FLAG_FOR_REVIEW,PROCEED,289,PROCEED,no,high,
HB_EXP9_0039,fixed_ari_pro_006_06,arithmetic+procedural,arithmetic,procedural,addition_subtraction,protocol_compliance,easy,easy,A delivery manager computes freight costs and applies dispatch procedures.,Freight rate: $0.85 per kg. Shipment weighs 340 kg. Total freight cost?,Dispatch procedure: (1) weigh goods (2) label packages (3) load vehicle (4) seal vehicle (5) dispatch. Driver dispatches before sealing. Protocol followed?,PROCEED | USE_TOOL | FLAG_FOR_REVIEW,PROCEED,289,PROCEED,no,high,
HB_EXP9_0040,fixed_ari_soc_004_08,arithmetic+social,arithmetic,social,estimation,emotion_recognition,medium,medium,A performance analyst evaluates metrics and cultural dynamics.,"Sales target $500,000. Current performance: $423,750. Gap as a percentage of target (to 2 decimal places)?",A high-performer never acknowledges others' contributions and team morale is declining. What behaviour is most likely causing this? A) Competition  B) Overwork  C) Failure to give credit  D) Individualism,PROCEED | USE_TOOL | FLAG_FOR_REVIEW,PROCEED,15.25,PROCEED,C,high,
HB_EXP9_0041,fixed_ari_soc_004_03,arithmetic+social,arithmetic,social,estimation,emotion_recognition,medium,medium,A performance analyst evaluates metrics and cultural dynamics.,"Sales target $500,000. Current performance: $423,750. Gap as a percentage of target (to 2 decimal places)?",A high-performer never acknowledges others' contributions and team morale is declining. What behaviour is most likely causing this? A) Competition  B) Overwork  C) Failure to give credit  D) Individualism,PROCEED | USE_TOOL | FLAG_FOR_REVIEW,PROCEED,15.25,PROCEED,C,high,
HB_EXP9_0042,fixed_ari_soc_004_02,arithmetic+social,arithmetic,social,multi_step_calculation,pragmatic_implicature,medium,easy,An office manager plans a team event and handles social dynamics.,Team lunch for 15 people at $22 each plus an 18% tip. Total cost?,A new team member rarely speaks in meetings and gives short answers. Most likely interpretation? A) Rude  B) Shy or adapting to team norms  C) Disinterested  D) Hostile,PROCEED | USE_TOOL | FLAG_FOR_REVIEW,PROCEED,389.4,PROCEED,B,high,
HB_EXP9_0043,fixed_ari_soc_004_06,arithmetic+social,arithmetic,social,percentages_ratios,conflict_resolution,easy,medium,An HR manager handles salary reviews and team culture.,"Annual raise of 8% on a $52,500 salary. New salary?",A colleague publicly criticises your work without prior discussion. Best professional response? A) Argue back immediately  B) Request a private conversation later  C) Ignore it  D) Escalate to HR immediately,PROCEED | USE_TOOL | FLAG_FOR_REVIEW,PROCEED,56700,PROCEED,B,high,
HB_EXP9_0044,fixed_ari_soc_004_01,arithmetic+social,arithmetic,social,percentages_ratios,conflict_resolution,easy,medium,An HR manager handles salary reviews and team culture.,"Annual raise of 8% on a $52,500 salary. New salary?",A colleague publicly criticises your work without prior discussion. Best professional response? A) Argue back immediately  B) Request a private conversation later  C) Ignore it  D) Escalate to HR immediately,PROCEED | USE_TOOL | FLAG_FOR_REVIEW,PROCEED,56700,FLAG_FOR_REVIEW,,medium,B:FLAG_FOR_REVIEW
HB_EXP9_0045,fixed_ari_soc_004_07,arithmetic+social,arithmetic,social,multi_step_calculation,pragmatic_implicature,medium,easy,An office manager plans a team event and handles social dynamics.,Team lunch for 15 people at $22 each plus an 18% tip. Total cost?,A new team member rarely speaks in meetings and gives short answers. Most likely interpretation? A) Rude  B) Shy or adapting to team norms  C) Disinterested  D) Hostile,PROCEED | USE_TOOL | FLAG_FOR_REVIEW,PROCEED,389.4,PROCEED,B,high,
HB_EXP9_0046,fixed_ari_soc_004_05,arithmetic+social,arithmetic,social,multiplication_division,perspective_taking,medium,easy,A team lead manages payroll and observes workplace dynamics.,12 employees each work 28 hours at $25/hour plus a $350 weekly bonus. Total weekly cost?,An employee passed over for promotion starts arriving late. Most likely cause? A) Personal issues  B) Disengagement from feeling undervalued  C) Time management  D) Medical leave,PROCEED | USE_TOOL | FLAG_FOR_REVIEW,PROCEED,12600,USE_TOOL,,medium,B:USE_TOOL
HB_EXP9_0047,fixed_ari_soc_004_00,arithmetic+social,arithmetic,social,multiplication_division,perspective_taking,medium,easy,A team lead manages payroll and observes workplace dynamics.,12 employees each work 28 hours at $25/hour plus a $350 weekly bonus. Total weekly cost?,An employee passed over for promotion starts arriving late. Most likely cause? A) Personal issues  B) Disengagement from feeling undervalued  C) Time management  D) Medical leave,PROCEED | USE_TOOL | FLAG_FOR_REVIEW,PROCEED,12600,PROCEED,B,high,
HB_EXP9_0048,fixed_ari_soc_004_04,arithmetic+social,arithmetic,social,addition_subtraction,norm_violation,easy,medium,A facilities manager handles supply costs and workplace norms.,24 reams of paper at $4.75 each plus 36 pens at $1.25 each. Total cost?,A colleague takes multiple loud personal calls in an open-plan office. What workplace norm is most directly violated?,PROCEED | USE_TOOL | FLAG_FOR_REVIEW,FLAG_FOR_REVIEW,,PROCEED,respect for shared workspace or noise etiquette,medium,A:FLAG_FOR_REVIEW
HB_EXP9_0049,fixed_spa_ari_007_03,arithmetic+spatial,spatial,arithmetic,3d_geometry,percentages_ratios,medium,hard,A shipping company packs boxes.,Container 6m × 2.4m × 2.6m. Volume in m³?,"Each pallet 80 kg; container holds up to 24,000 kg; container itself weighs 2,200 kg. Max pallets by weight?",PROCEED | USE_TOOL | FLAG_FOR_REVIEW,PROCEED,37.44,USE_TOOL,,medium,B:USE_TOOL
HB_EXP9_0050,fixed_spa_ari_007_04,arithmetic+spatial,spatial,arithmetic,grid_navigation,multi_step_calculation,medium,hard,A farmer plans crop rows.,"Triangular field base 80m, height 50m. Area in m²?","Seeds $0.15 each, planted 30 cm apart in rows 1m apart. Seeds for 2000 m² plot?",PROCEED | USE_TOOL | FLAG_FOR_REVIEW,PROCEED,2000,PROCEED,6667,high,
HB_EXP9_0051,fixed_spa_ari_007_07,arithmetic+spatial,spatial,arithmetic,2d_geometry,multiplication_division,hard,medium,A painter quotes a job.,4 walls: two 4m×3m and two 5m×3m. Subtract two 1m×2m windows and one 0.9m×2m door. Paintable area?,"Paint $35/can, covers 12 m². Cans needed for 50.2 m² (round up)?",PROCEED | USE_TOOL | FLAG_FOR_REVIEW,PROCEED,50.2,PROCEED,5,high,
HB_EXP9_0052,fixed_spa_ari_007_02,arithmetic+spatial,spatial,arithmetic,2d_geometry,multiplication_division,hard,medium,A painter quotes a job.,4 walls: two 4m×3m and two 5m×3m. Subtract two 1m×2m windows and one 0.9m×2m door. Paintable area?,"Paint $35/can, covers 12 m². Cans needed for 50.2 m² (round up)?",PROCEED | USE_TOOL | FLAG_FOR_REVIEW,USE_TOOL,,PROCEED,5,medium,A:USE_TOOL
HB_EXP9_0053,fixed_spa_ari_007_08,arithmetic+spatial,spatial,arithmetic,3d_geometry,percentages_ratios,medium,hard,A shipping company packs boxes.,Container 6m × 2.4m × 2.6m. Volume in m³?,"Each pallet 80 kg; container holds up to 24,000 kg; container itself weighs 2,200 kg. Max pallets by weight?",PROCEED | USE_TOOL | FLAG_FOR_REVIEW,PROCEED,37.44,PROCEED,272,high,
HB_EXP9_0054,fixed_ari_spa_000_08,arithmetic+spatial,arithmetic,spatial,multi_step_calculation,distance_bearing,easy,hard,An engineer calculates material needs.,Pipe costs $18.50/m; 45 m needed. Total cost?,Pipes form an L: 20 m east then 25 m north. Straight-line distance from start to end (nearest whole m)?,PROCEED | USE_TOOL | FLAG_FOR_REVIEW,PROCEED,832.5,PROCEED,32,high,
HB_EXP9_0055,fixed_ari_spa_000_02,arithmetic+spatial,arithmetic,spatial,percentages_ratios,spatial_arrangement,easy,hard,A store manager tracks sales and shelving.,"Mon $1,240 + Tue $985 + Wed $1,103. Three-day total?",Products on a 5-col × 3-row shelf. A shipment fills bottom-left 2×2. Occupied slots?,PROCEED | USE_TOOL | FLAG_FOR_REVIEW,PROCEED,3328,PROCEED,4,high,
HB_EXP9_0056,fixed_spa_ari_007_01,arithmetic+spatial,spatial,arithmetic,distance_bearing,addition_subtraction,medium,medium,An architect designs a floor plan.,Room 5m × 4m plus 1m × 2m alcove from east wall. Total floor area?,Tiles cost $8.50 each covering 0.25 m² each. Tiles and cost for 22 m² floor?,PROCEED | USE_TOOL | FLAG_FOR_REVIEW,PROCEED,22,PROCEED,748,high,
HB_EXP9_0057,fixed_ari_spa_000_07,arithmetic+spatial,arithmetic,spatial,percentages_ratios,spatial_arrangement,easy,hard,A store manager tracks sales and shelving.,"Mon $1,240 + Tue $985 + Wed $1,103. Three-day total?",Products on a 5-col × 3-row shelf. A shipment fills bottom-left 2×2. Occupied slots?,PROCEED | USE_TOOL | FLAG_FOR_REVIEW,PROCEED,3328,PROCEED,4,high,
HB_EXP9_0058,fixed_spa_ari_007_06,arithmetic+spatial,spatial,arithmetic,distance_bearing,addition_subtraction,medium,medium,An architect designs a floor plan.,Room 5m × 4m plus 1m × 2m alcove from east wall. Total floor area?,Tiles cost $8.50 each covering 0.25 m² each. Tiles and cost for 22 m² floor?,PROCEED | USE_TOOL | FLAG_FOR_REVIEW,PROCEED,22,PROCEED,748,high,
HB_EXP9_0059,fixed_ari_spa_000_03,arithmetic+spatial,arithmetic,spatial,multi_step_calculation,distance_bearing,easy,hard,An engineer calculates material needs.,Pipe costs $18.50/m; 45 m needed. Total cost?,Pipes form an L: 20 m east then 25 m north. Straight-line distance from start to end (nearest whole m)?,PROCEED | USE_TOOL | FLAG_FOR_REVIEW,PROCEED,832.5,PROCEED,32,high,
HB_EXP9_0060,fixed_ari_spa_000_05,arithmetic+spatial,arithmetic,spatial,addition_subtraction,3d_geometry,easy,medium,A warehouse manager is arranging inventory.,The warehouse has 48 boxes each weighing 12.5 kg. Total weight in kg?,The boxes are stacked 4×3×4 layers. Remove the top layer. How many remain?,PROCEED | USE_TOOL | FLAG_FOR_REVIEW,PROCEED,600,USE_TOOL,,medium,B:USE_TOOL
HB_EXP9_0061,fixed_tem_ari_014_04,arithmetic+temporal,temporal,arithmetic,duration_calculation,multiplication_division,medium,hard,A flight attendant tracks flights and duty pay.,"Departure 6:45 AM, arrival 2:20 PM same day. Flight time in hours and minutes?",Duty pay $48/hr (nearest quarter hour). Pay for 7 hours 35 minutes?,PROCEED | USE_TOOL | FLAG_FOR_REVIEW,USE_TOOL,,USE_TOOL,,low,A:USE_TOOL; B:USE_TOOL
HB_EXP9_0062,fixed_ari_tem_001_06,arithmetic+temporal,arithmetic,temporal,addition_subtraction,sequence_ordering,medium,medium,A project manager tracks budget and deadlines.,"Budget $50,000. Spent $12,750 wk1 and $18,430 wk2. Remaining?","Project starts March 1, finish in 90 days. Deadline (month and day)?",PROCEED | USE_TOOL | FLAG_FOR_REVIEW,PROCEED,18820,PROCEED,May 30,high,
HB_EXP9_0063,fixed_ari_tem_001_00,arithmetic+temporal,arithmetic,temporal,estimation,duration_calculation,medium,medium,An office manager handles scheduling and payroll.,"Employee earns $28.50/hr, works 37.5 hrs this week. Gross earnings?","Meeting scheduled Tuesday 2:00 PM, postponed +2 days +3 hours. New day and time?",PROCEED | USE_TOOL | FLAG_FOR_REVIEW,PROCEED,1068.75,PROCEED,Thursday at 5:00 PM,high,
HB_EXP9_0064,fixed_tem_ari_014_06,arithmetic+temporal,temporal,arithmetic,calendar_date,multi_step_calculation,medium,medium,An event planner handles scheduling and budgets.,Event runs 10:30 AM to 4:15 PM. Duration in hours and minutes?,Venue $200/hr (partial hours billed as full). Cost for 5 hr 45 min event?,PROCEED | USE_TOOL | FLAG_FOR_REVIEW,PROCEED,5 hours 45 minutes,PROCEED,1200,high,
HB_EXP9_0065,fixed_ari_tem_001_08,arithmetic+temporal,arithmetic,temporal,percentages_ratios,rate_time,medium,medium,A retail manager monitors sales and store hours.,340 items at $12.99 + 85 items at $24.99. Total revenue?,"Store open 9 AM–9 PM. Employee works 10 AM–6 PM, 30-min lunch. Hours worked?",PROCEED | USE_TOOL | FLAG_FOR_REVIEW,PROCEED,6543.75,PROCEED,7.5,high,
