item_id,task_id,domain_pair,domain_a,domain_b,subcategory_a,subcategory_b,difficulty_a,difficulty_b,task_text,part1_text,part2_text,decision_options,decision_a,answer_a,decision_b,answer_b,participant_confidence,notes
HB_EXP9_0011,fixed_ari_lin_002_08,arithmetic+linguistic,arithmetic,linguistic,multiplication_division,active_passive,medium,easy,A financial analyst computes quarterly figures and reviews documentation.,"Q1: $42,000; Q2: $38,500; Q3: $51,200. Average quarterly revenue?",What part of speech is 'rapidly' in: 'The company rapidly expanded its market share'?,PROCEED | USE_TOOL | FLAG_FOR_REVIEW,PROCEED,43900,PROCEED,adverb,medium,
HB_EXP9_0012,fixed_ari_lin_002_02,arithmetic+linguistic,arithmetic,linguistic,addition_subtraction,vocabulary_semantics,easy,easy,A project manager tracks budget and drafts memos.,"Monthly budget $54,000 divided equally among 12 departments. Each department's allocation?",Rewrite in passive voice: 'The team submitted the report.',PROCEED | USE_TOOL | FLAG_FOR_REVIEW,PROCEED,4500,PROCEED,The report was submitted by the team.,high,
HB_EXP9_0013,fixed_ari_log_003_07,arithmetic+logical,arithmetic,logical,estimation,syllogisms,medium,easy,A production manager tracks output and quality rules.,Line produces 240 units/hr. 6-hour shift. Defect rate 3%. Good units produced?,"Rule: if defect rate > 5%, halt the line. Current rate 3%. Halt the line?",PROCEED | USE_TOOL | FLAG_FOR_REVIEW,PROCEED,1397,PROCEED,no,medium,
HB_EXP9_0014,fixed_ari_log_003_05,arithmetic+logical,arithmetic,logical,percentages_ratios,pattern_inference,medium,easy,An analyst handles numbers and rules.,"Monthly revenue: Jan $42,000; Feb $38,500; Mar $51,200. Q1 average revenue?",All approved vendors are in the approved list. Vendor X is not on the list. Is Vendor X approved?,PROCEED | USE_TOOL | FLAG_FOR_REVIEW,PROCEED,43900,PROCEED,no,medium,
HB_EXP9_0015,fixed_ari_log_003_02,arithmetic+logical,arithmetic,logical,estimation,syllogisms,medium,easy,A production manager tracks output and quality rules.,Line produces 240 units/hr. 6-hour shift. Defect rate 3%. Good units produced?,"Rule: if defect rate > 5%, halt the line. Current rate 3%. Halt the line?",PROCEED | USE_TOOL | FLAG_FOR_REVIEW,PROCEED,1397,PROCEED,no,medium,
HB_EXP9_0016,fixed_ari_log_003_01,arithmetic+logical,arithmetic,logical,multi_step_calculation,constraint_satisfaction,medium,easy,A compliance officer tracks budgets and policies.,"Budget $200,000. Departments spent 35%, 28%, and 22%. Amount remaining?","Policy: if budget spent > 80%, freeze all purchases. Current spend is 85%. Should purchases be frozen?",PROCEED | USE_TOOL | FLAG_FOR_REVIEW,USE_TOOL,,PROCEED,yes,low,A:USE_TOOL
HB_EXP9_0017,fixed_ari_log_003_06,arithmetic+logical,arithmetic,logical,multi_step_calculation,constraint_satisfaction,medium,easy,A compliance officer tracks budgets and policies.,"Budget $200,000. Departments spent 35%, 28%, and 22%. Amount remaining?","Policy: if budget spent > 80%, freeze all purchases. Current spend is 85%. Should purchases be frozen?",PROCEED | USE_TOOL | FLAG_FOR_REVIEW,PROCEED,30000,PROCEED,yes,medium,
HB_EXP9_0018,fixed_ari_log_003_00,arithmetic+logical,arithmetic,logical,percentages_ratios,pattern_inference,medium,easy,An analyst handles numbers and rules.,"Monthly revenue: Jan $42,000; Feb $38,500; Mar $51,200. Q1 average revenue?",All approved vendors are in the approved list. Vendor X is not on the list. Is Vendor X approved?,PROCEED | USE_TOOL | FLAG_FOR_REVIEW,USE_TOOL,,PROCEED,no,low,A:USE_TOOL
HB_EXP9_0019,fixed_ari_pro_006_04,arithmetic+procedural,arithmetic,procedural,multi_step_calculation,error_detection,easy,medium,A nurse calculates infusion rates and follows administration protocol.,"IV bag: 1,000 mL to be infused over 8 hours. Rate in mL per hour?",Medication administration: (1) check patient ID (2) verify order (3) prepare dose (4) administer (5) document. Nurse administers then documents. Is this acceptable if all prior steps were followed?,PROCEED | USE_TOOL | FLAG_FOR_REVIEW,PROCEED,125,USE_TOOL,,low,B:USE_TOOL
HB_EXP9_0020,fixed_ari_pro_006_02,arithmetic+procedural,arithmetic,procedural,multiplication_division,dependency_ordering,medium,easy,A project manager calculates budget burn and follows approval procedures.,"Monthly budget $80,000. Spent: 42% in month 1 and 31% in month 2. Total spent after two months?","Approval procedure: (1) draft request (2) cost estimate (3) manager sign-off (4) finance approval (5) execution. Request executed after steps 1–3, skipping step 4. Protocol followed?",PROCEED | USE_TOOL | FLAG_FOR_REVIEW,USE_TOOL,,PROCEED,no,low,A:USE_TOOL
HB_EXP9_0021,fixed_ari_pro_006_07,arithmetic+procedural,arithmetic,procedural,multiplication_division,dependency_ordering,medium,easy,A project manager calculates budget burn and follows approval procedures.,"Monthly budget $80,000. Spent: 42% in month 1 and 31% in month 2. Total spent after two months?","Approval procedure: (1) draft request (2) cost estimate (3) manager sign-off (4) finance approval (5) execution. Request executed after steps 1–3, skipping step 4. Protocol followed?",PROCEED | USE_TOOL | FLAG_FOR_REVIEW,PROCEED,58400,PROCEED,no,medium,
HB_EXP9_0022,fixed_ari_pro_006_08,arithmetic+procedural,arithmetic,procedural,percentages_ratios,constraint_following,easy,medium,A pharmacist calculates dosages and follows dispensing procedure.,Prescribed dose: 0.5 mg/kg. Patient weighs 84 kg. Total dose in mg?,Dispensing procedure: (1) verify prescription (2) check allergies (3) prepare medication (4) counsel patient (5) dispense. Pharmacist dispenses before counselling. Protocol followed?,PROCEED | USE_TOOL | FLAG_FOR_REVIEW,PROCEED,42,PROCEED,no,medium,
HB_EXP9_0023,fixed_ari_pro_006_00,arithmetic+procedural,arithmetic,procedural,estimation,step_sequencing,medium,easy,A factory supervisor calculates production and follows quality protocols.,"Line produces 240 units/hr. Shift is 8 hours. With a 3% defect rate, how many good units are produced?",Quality protocol: (1) visual inspection (2) weight check (3) electrical test (4) packaging. A batch skips step 3. Is the protocol followed?,PROCEED | USE_TOOL | FLAG_FOR_REVIEW,PROCEED,1862,PROCEED,no,medium,
HB_EXP9_0024,fixed_ari_pro_006_05,arithmetic+procedural,arithmetic,procedural,estimation,step_sequencing,medium,easy,A factory supervisor calculates production and follows quality protocols.,"Line produces 240 units/hr. Shift is 8 hours. With a 3% defect rate, how many good units are produced?",Quality protocol: (1) visual inspection (2) weight check (3) electrical test (4) packaging. A batch skips step 3. Is the protocol followed?,PROCEED | USE_TOOL | FLAG_FOR_REVIEW,PROCEED,1862,PROCEED,no,medium,
HB_EXP9_0025,fixed_ari_soc_004_08,arithmetic+social,arithmetic,social,estimation,emotion_recognition,medium,medium,A performance analyst evaluates metrics and cultural dynamics.,"Sales target $500,000. Current performance: $423,750. Gap as a percentage of target (to 2 decimal places)?",A high-performer never acknowledges others' contributions and team morale is declining. What behaviour is most likely causing this? A) Competition  B) Overwork  C) Failure to give credit  D) Individualism,PROCEED | USE_TOOL | FLAG_FOR_REVIEW,PROCEED,15.25,PROCEED,C,medium,
HB_EXP9_0026,fixed_ari_soc_004_03,arithmetic+social,arithmetic,social,estimation,emotion_recognition,medium,medium,A performance analyst evaluates metrics and cultural dynamics.,"Sales target $500,000. Current performance: $423,750. Gap as a percentage of target (to 2 decimal places)?",A high-performer never acknowledges others' contributions and team morale is declining. What behaviour is most likely causing this? A) Competition  B) Overwork  C) Failure to give credit  D) Individualism,PROCEED | USE_TOOL | FLAG_FOR_REVIEW,FLAG_FOR_REVIEW,,FLAG_FOR_REVIEW,,low,A:FLAG_FOR_REVIEW; B:FLAG_FOR_REVIEW
HB_EXP9_0027,fixed_ari_soc_004_02,arithmetic+social,arithmetic,social,multi_step_calculation,pragmatic_implicature,medium,easy,An office manager plans a team event and handles social dynamics.,Team lunch for 15 people at $22 each plus an 18% tip. Total cost?,A new team member rarely speaks in meetings and gives short answers. Most likely interpretation? A) Rude  B) Shy or adapting to team norms  C) Disinterested  D) Hostile,PROCEED | USE_TOOL | FLAG_FOR_REVIEW,FLAG_FOR_REVIEW,,PROCEED,B,low,A:FLAG_FOR_REVIEW
HB_EXP9_0028,fixed_ari_soc_004_06,arithmetic+social,arithmetic,social,percentages_ratios,conflict_resolution,easy,medium,An HR manager handles salary reviews and team culture.,"Annual raise of 8% on a $52,500 salary. New salary?",A colleague publicly criticises your work without prior discussion. Best professional response? A) Argue back immediately  B) Request a private conversation later  C) Ignore it  D) Escalate to HR immediately,PROCEED | USE_TOOL | FLAG_FOR_REVIEW,PROCEED,56700,PROCEED,B,medium,
HB_EXP9_0029,fixed_ari_soc_004_01,arithmetic+social,arithmetic,social,percentages_ratios,conflict_resolution,easy,medium,An HR manager handles salary reviews and team culture.,"Annual raise of 8% on a $52,500 salary. New salary?",A colleague publicly criticises your work without prior discussion. Best professional response? A) Argue back immediately  B) Request a private conversation later  C) Ignore it  D) Escalate to HR immediately,PROCEED | USE_TOOL | FLAG_FOR_REVIEW,PROCEED,56700,USE_TOOL,,low,B:USE_TOOL
HB_EXP9_0030,fixed_ari_soc_004_07,arithmetic+social,arithmetic,social,multi_step_calculation,pragmatic_implicature,medium,easy,An office manager plans a team event and handles social dynamics.,Team lunch for 15 people at $22 each plus an 18% tip. Total cost?,A new team member rarely speaks in meetings and gives short answers. Most likely interpretation? A) Rude  B) Shy or adapting to team norms  C) Disinterested  D) Hostile,PROCEED | USE_TOOL | FLAG_FOR_REVIEW,USE_TOOL,,PROCEED,B,low,A:USE_TOOL
HB_EXP9_0031,fixed_spa_ari_007_02,arithmetic+spatial,spatial,arithmetic,2d_geometry,multiplication_division,hard,medium,A painter quotes a job.,4 walls: two 4m×3m and two 5m×3m. Subtract two 1m×2m windows and one 0.9m×2m door. Paintable area?,"Paint $35/can, covers 12 m². Cans needed for 50.2 m² (round up)?",PROCEED | USE_TOOL | FLAG_FOR_REVIEW,USE_TOOL,,PROCEED,5,low,A:USE_TOOL
HB_EXP9_0032,fixed_spa_ari_007_04,arithmetic+spatial,spatial,arithmetic,grid_navigation,multi_step_calculation,medium,hard,A farmer plans crop rows.,"Triangular field base 80m, height 50m. Area in m²?","Seeds $0.15 each, planted 30 cm apart in rows 1m apart. Seeds for 2000 m² plot?",PROCEED | USE_TOOL | FLAG_FOR_REVIEW,FLAG_FOR_REVIEW,,USE_TOOL,,low,A:FLAG_FOR_REVIEW; B:USE_TOOL
HB_EXP9_0033,fixed_spa_ari_007_07,arithmetic+spatial,spatial,arithmetic,2d_geometry,multiplication_division,hard,medium,A painter quotes a job.,4 walls: two 4m×3m and two 5m×3m. Subtract two 1m×2m windows and one 0.9m×2m door. Paintable area?,"Paint $35/can, covers 12 m². Cans needed for 50.2 m² (round up)?",PROCEED | USE_TOOL | FLAG_FOR_REVIEW,PROCEED,50.2,PROCEED,5,medium,
HB_EXP9_0034,fixed_spa_ari_007_08,arithmetic+spatial,spatial,arithmetic,3d_geometry,percentages_ratios,medium,hard,A shipping company packs boxes.,Container 6m × 2.4m × 2.6m. Volume in m³?,"Each pallet 80 kg; container holds up to 24,000 kg; container itself weighs 2,200 kg. Max pallets by weight?",PROCEED | USE_TOOL | FLAG_FOR_REVIEW,PROCEED,37.44,USE_TOOL,,low,B:USE_TOOL
HB_EXP9_0035,fixed_spa_ari_007_03,arithmetic+spatial,spatial,arithmetic,3d_geometry,percentages_ratios,medium,hard,A shipping company packs boxes.,Container 6m × 2.4m × 2.6m. Volume in m³?,"Each pallet 80 kg; container holds up to 24,000 kg; container itself weighs 2,200 kg. Max pallets by weight?",PROCEED | USE_TOOL | FLAG_FOR_REVIEW,PROCEED,37.44,PROCEED,272,medium,
HB_EXP9_0036,fixed_spa_ari_007_01,arithmetic+spatial,spatial,arithmetic,distance_bearing,addition_subtraction,medium,medium,An architect designs a floor plan.,Room 5m × 4m plus 1m × 2m alcove from east wall. Total floor area?,Tiles cost $8.50 each covering 0.25 m² each. Tiles and cost for 22 m² floor?,PROCEED | USE_TOOL | FLAG_FOR_REVIEW,FLAG_FOR_REVIEW,,USE_TOOL,,low,A:FLAG_FOR_REVIEW; B:USE_TOOL
HB_EXP9_0037,fixed_tem_ari_014_04,arithmetic+temporal,temporal,arithmetic,duration_calculation,multiplication_division,medium,hard,A flight attendant tracks flights and duty pay.,"Departure 6:45 AM, arrival 2:20 PM same day. Flight time in hours and minutes?",Duty pay $48/hr (nearest quarter hour). Pay for 7 hours 35 minutes?,PROCEED | USE_TOOL | FLAG_FOR_REVIEW,PROCEED,7 hours 35 minutes,PROCEED,364,medium,
HB_EXP9_0038,fixed_tem_ari_014_01,arithmetic+temporal,temporal,arithmetic,calendar_date,multi_step_calculation,medium,medium,An event planner handles scheduling and budgets.,Event runs 10:30 AM to 4:15 PM. Duration in hours and minutes?,Venue $200/hr (partial hours billed as full). Cost for 5 hr 45 min event?,PROCEED | USE_TOOL | FLAG_FOR_REVIEW,PROCEED,5 hours 45 minutes,USE_TOOL,,low,B:USE_TOOL
HB_EXP9_0039,fixed_ari_tem_001_03,arithmetic+temporal,arithmetic,temporal,percentages_ratios,rate_time,medium,medium,A retail manager monitors sales and store hours.,340 items at $12.99 + 85 items at $24.99. Total revenue?,"Store open 9 AM–9 PM. Employee works 10 AM–6 PM, 30-min lunch. Hours worked?",PROCEED | USE_TOOL | FLAG_FOR_REVIEW,PROCEED,6543.75,USE_TOOL,,low,B:USE_TOOL
HB_EXP9_0040,fixed_ari_tem_001_08,arithmetic+temporal,arithmetic,temporal,percentages_ratios,rate_time,medium,medium,A retail manager monitors sales and store hours.,340 items at $12.99 + 85 items at $24.99. Total revenue?,"Store open 9 AM–9 PM. Employee works 10 AM–6 PM, 30-min lunch. Hours worked?",PROCEED | USE_TOOL | FLAG_FOR_REVIEW,PROCEED,6543.75,USE_TOOL,,low,B:USE_TOOL
HB_EXP9_0041,fixed_tem_ari_014_00,arithmetic+temporal,temporal,arithmetic,sequence_ordering,percentages_ratios,medium,medium,A project coordinator tracks time and resources.,Task A: 3 hr 45 min. Task B: 2 hr 30 min. Sequential total duration?,Team earns $85/hr. They worked 6 hours 15 minutes. Total labour cost?,PROCEED | USE_TOOL | FLAG_FOR_REVIEW,PROCEED,6 hours 15 minutes,PROCEED,531.25,medium,
HB_EXP9_0042,fixed_tem_ari_014_06,arithmetic+temporal,temporal,arithmetic,calendar_date,multi_step_calculation,medium,medium,An event planner handles scheduling and budgets.,Event runs 10:30 AM to 4:15 PM. Duration in hours and minutes?,Venue $200/hr (partial hours billed as full). Cost for 5 hr 45 min event?,PROCEED | USE_TOOL | FLAG_FOR_REVIEW,PROCEED,5 hours 45 minutes,USE_TOOL,,low,B:USE_TOOL
HB_EXP9_0043,fixed_lin_fac_020_03,factual+linguistic,linguistic,factual,register_style,general_knowledge,hard,easy,A science journalist writes about biology and uses precise grammar.,Which sentence uses the subjunctive correctly? A) 'I suggest that he attends the meeting.'  B) 'I suggest that he attend the meeting.'  C) 'I suggested that he attended the meeting.'  D) 'I suggest he is attending.',How many bones are in the adult human body?,PROCEED | USE_TOOL | FLAG_FOR_REVIEW,USE_TOOL,,PROCEED,206,low,A:USE_TOOL
HB_EXP9_0044,fixed_lin_fac_020_08,factual+linguistic,linguistic,factual,register_style,general_knowledge,hard,easy,A science journalist writes about biology and uses precise grammar.,Which sentence uses the subjunctive correctly? A) 'I suggest that he attends the meeting.'  B) 'I suggest that he attend the meeting.'  C) 'I suggested that he attended the meeting.'  D) 'I suggest he is attending.',How many bones are in the adult human body?,PROCEED | USE_TOOL | FLAG_FOR_REVIEW,PROCEED,B,PROCEED,206,medium,
HB_EXP9_0045,fixed_lin_fac_020_01,factual+linguistic,linguistic,factual,vocabulary_semantics,science_facts,hard,easy,A history writer edits documents and covers world events.,What grammatical term describes 'however' when it connects two independent clauses? A) Conjunction  B) Preposition  C) Conjunctive adverb  D) Interjection,In what year did the Second World War end?,PROCEED | USE_TOOL | FLAG_FOR_REVIEW,PROCEED,C,PROCEED,1945,medium,
HB_EXP9_0046,fixed_lin_fac_020_06,factual+linguistic,linguistic,factual,vocabulary_semantics,science_facts,hard,easy,A history writer edits documents and covers world events.,What grammatical term describes 'however' when it connects two independent clauses? A) Conjunction  B) Preposition  C) Conjunctive adverb  D) Interjection,In what year did the Second World War end?,PROCEED | USE_TOOL | FLAG_FOR_REVIEW,PROCEED,C,PROCEED,1945,medium,
HB_EXP9_0047,fixed_lin_fac_020_07,factual+linguistic,linguistic,factual,active_passive,culture_arts,medium,medium,A geography textbook editor reviews factual content and grammar.,The sentence 'Water was drank by the athlete' contains an error. What is it?,What is the capital of Australia?,PROCEED | USE_TOOL | FLAG_FOR_REVIEW,PROCEED,drank should be drunk,PROCEED,Canberra,medium,
HB_EXP9_0048,fixed_lin_fac_020_02,factual+linguistic,linguistic,factual,active_passive,culture_arts,medium,medium,A geography textbook editor reviews factual content and grammar.,The sentence 'Water was drank by the athlete' contains an error. What is it?,What is the capital of Australia?,PROCEED | USE_TOOL | FLAG_FOR_REVIEW,USE_TOOL,,PROCEED,Canberra,low,A:USE_TOOL
HB_EXP9_0049,fixed_log_fac_024_06,factual+logical,logical,factual,boolean_logic,culture_arts,hard,easy,A history teacher applies logical analysis to historical facts.,Democracy requires free elections. Country X holds free elections. Does Country X necessarily have a democracy?,What year was the United Nations founded?,PROCEED | USE_TOOL | FLAG_FOR_REVIEW,PROCEED,not necessarily,USE_TOOL,,low,B:USE_TOOL
HB_EXP9_0050,fixed_log_fac_024_08,factual+logical,logical,factual,constraint_satisfaction,world_history,hard,easy,A medical educator checks clinical reasoning and recalls pharmacology.,"Rule: if a patient has condition X, prescribe treatment Y. Patient does not have condition X. Does this rule mean treatment Y must not be prescribed?",What vitamin does the body produce when exposed to sunlight?,PROCEED | USE_TOOL | FLAG_FOR_REVIEW,PROCEED,no,PROCEED,Vitamin D,medium,
HB_EXP9_0051,fixed_log_fac_024_01,factual+logical,logical,factual,boolean_logic,culture_arts,hard,easy,A history teacher applies logical analysis to historical facts.,Democracy requires free elections. Country X holds free elections. Does Country X necessarily have a democracy?,What year was the United Nations founded?,PROCEED | USE_TOOL | FLAG_FOR_REVIEW,USE_TOOL,,PROCEED,1945,low,A:USE_TOOL
HB_EXP9_0052,fixed_log_fac_024_03,factual+logical,logical,factual,constraint_satisfaction,world_history,hard,easy,A medical educator checks clinical reasoning and recalls pharmacology.,"Rule: if a patient has condition X, prescribe treatment Y. Patient does not have condition X. Does this rule mean treatment Y must not be prescribed?",What vitamin does the body produce when exposed to sunlight?,PROCEED | USE_TOOL | FLAG_FOR_REVIEW,PROCEED,no,PROCEED,Vitamin D,medium,
HB_EXP9_0053,fixed_log_fac_024_04,factual+logical,logical,factual,syllogisms,geography,medium,easy,A philosophy teacher links logical structure to geometry.,"P: If a shape is a square, it is a rectangle. Q: This shape is NOT a rectangle. What can be concluded?",How many sides does a hexagon have?,PROCEED | USE_TOOL | FLAG_FOR_REVIEW,PROCEED,This shape is not a square,PROCEED,6,medium,
HB_EXP9_0054,fixed_log_fac_024_07,factual+logical,logical,factual,pattern_inference,general_knowledge,medium,easy,A biology teacher evaluates scientific claims and recalls core facts.,All living organisms require water. Organism X requires no water. What follows?,What is the process by which plants make food using sunlight?,PROCEED | USE_TOOL | FLAG_FOR_REVIEW,USE_TOOL,,FLAG_FOR_REVIEW,,low,A:USE_TOOL; B:FLAG_FOR_REVIEW
HB_EXP9_0055,fixed_fac_pro_030_04,factual+procedural,factual,procedural,general_knowledge,step_sequencing,medium,easy,A physics teacher covers Newton's laws and lab safety procedures.,State Newton's First Law of Motion.,Lab procedure: (1) read instructions (2) gather equipment (3) safety check (4) perform experiment (5) clean up. Student performs experiment before safety check. Protocol followed?,PROCEED | USE_TOOL | FLAG_FOR_REVIEW,USE_TOOL,,PROCEED,no,low,A:USE_TOOL
HB_EXP9_0056,fixed_fac_pro_030_08,factual+procedural,factual,procedural,culture_arts,error_detection,easy,medium,A chemistry teacher covers element symbols and chemical storage procedures.,What is the chemical symbol for sodium?,Chemical storage: (1) label container (2) check compatibility (3) store in designated area (4) log in inventory (5) lock cabinet. Technician stores chemical before logging inventory. Protocol followed?,PROCEED | USE_TOOL | FLAG_FOR_REVIEW,PROCEED,Na,PROCEED,no,medium,
HB_EXP9_0057,fixed_fac_pro_030_06,factual+procedural,factual,procedural,geography,dependency_ordering,easy,medium,A first-aid trainer covers emergency terminology and CPR protocol.,What does CPR stand for?,CPR procedure: (1) check scene safety (2) check responsiveness (3) call emergency services (4) begin chest compressions (5) use AED. Rescuer begins compressions before calling emergency services. Protocol followed?,PROCEED | USE_TOOL | FLAG_FOR_REVIEW,PROCEED,cardiopulmonary resuscitation,PROCEED,no,medium,
HB_EXP9_0058,fixed_fac_pro_030_03,factual+procedural,factual,procedural,culture_arts,error_detection,easy,medium,A chemistry teacher covers element symbols and chemical storage procedures.,What is the chemical symbol for sodium?,Chemical storage: (1) label container (2) check compatibility (3) store in designated area (4) log in inventory (5) lock cabinet. Technician stores chemical before logging inventory. Protocol followed?,PROCEED | USE_TOOL | FLAG_FOR_REVIEW,PROCEED,Na,PROCEED,no,medium,
HB_EXP9_0059,fixed_fac_pro_030_02,factual+procedural,factual,procedural,science_facts,constraint_following,easy,medium,A biology teacher covers heart rate facts and experimental procedures.,What is the normal resting heart rate range for healthy adults (in bpm)?,Experiment protocol: (1) establish baseline heart rate (2) exercise 10 min (3) measure heart rate immediately (4) record results (5) repeat 3 times. Researcher measures heart rate before exercising. Protocol followed?,PROCEED | USE_TOOL | FLAG_FOR_REVIEW,PROCEED,60 to 100,PROCEED,no,medium,
HB_EXP9_0060,fixed_fac_pro_030_07,factual+procedural,factual,procedural,science_facts,constraint_following,easy,medium,A biology teacher covers heart rate facts and experimental procedures.,What is the normal resting heart rate range for healthy adults (in bpm)?,Experiment protocol: (1) establish baseline heart rate (2) exercise 10 min (3) measure heart rate immediately (4) record results (5) repeat 3 times. Researcher measures heart rate before exercising. Protocol followed?,PROCEED | USE_TOOL | FLAG_FOR_REVIEW,PROCEED,60 to 100,USE_TOOL,,low,B:USE_TOOL
HB_EXP9_0061,fixed_fac_soc_029_02,factual+social,factual,social,culture_arts,pragmatic_implicature,easy,hard,A science communicator connects discoveries and public behaviour.,Which gas do plants primarily absorb during photosynthesis?,Researcher presents findings contradicting a popular belief. Audience becomes hostile. Phenomenon? A) Confirmation bias  B) Dunning-Kruger  C) Groupthink  D) Bystander effect,PROCEED | USE_TOOL | FLAG_FOR_REVIEW,PROCEED,carbon dioxide,PROCEED,A,medium,
HB_EXP9_0062,fixed_fac_soc_029_07,factual+social,factual,social,culture_arts,pragmatic_implicature,easy,hard,A science communicator connects discoveries and public behaviour.,Which gas do plants primarily absorb during photosynthesis?,Researcher presents findings contradicting a popular belief. Audience becomes hostile. Phenomenon? A) Confirmation bias  B) Dunning-Kruger  C) Groupthink  D) Bystander effect,PROCEED | USE_TOOL | FLAG_FOR_REVIEW,PROCEED,carbon dioxide,FLAG_FOR_REVIEW,,low,B:FLAG_FOR_REVIEW
HB_EXP9_0063,fixed_fac_soc_029_03,factual+social,factual,social,general_knowledge,emotion_recognition,easy,medium,An educator teaches history and classroom dynamics.,Which empire built the Colosseum in Rome? A) Greek  B) Ottoman  C) Roman  D) Byzantine,"A student always answers first and loudly, even when wrong. Others stop raising hands. What norm is disrupted?",PROCEED | USE_TOOL | FLAG_FOR_REVIEW,PROCEED,C,PROCEED,equitable participation or turn-taking,medium,
HB_EXP9_0064,fixed_soc_fac_026_01,factual+social,social,factual,emotion_recognition,geography,medium,easy,An HR manager handles a conflict.,An employee keeps interrupting colleagues. When addressed says 'I was just adding ideas.' What social norm is violated?,Capital city of Australia? A) Sydney  B) Melbourne  C) Canberra  D) Brisbane,PROCEED | USE_TOOL | FLAG_FOR_REVIEW,FLAG_FOR_REVIEW,,PROCEED,C,low,A:FLAG_FOR_REVIEW
