task_id,ground_truth_outcome,risk_tier,resolver_type,success_criteria,ground_truth_source
EV_0037,request_more_info,high,tool,Outcome satisfies incident_triage policy and domain checks,ai_simulated_human_roleplay
EV_0038,escalate,medium,human,Outcome satisfies incident_triage policy and domain checks,ai_simulated_human_roleplay
EV_0039,request_more_info,low,human,Outcome satisfies supply_chain policy and domain checks,ai_simulated_human_roleplay
EV_0040,request_more_info,medium,human,Outcome satisfies clinical_admin policy and domain checks,ai_simulated_human_roleplay
EV_0041,escalate,high,tool,Outcome satisfies clinical_admin policy and domain checks,ai_simulated_human_roleplay
EV_0042,deny,medium,tool,Outcome satisfies sales_ops policy and domain checks,ai_simulated_human_roleplay
EV_0043,approve,low,human,Outcome satisfies fraud_screening policy and domain checks,ai_simulated_human_roleplay
EV_0044,escalate,low,tool,Outcome satisfies code_review policy and domain checks,ai_simulated_human_roleplay
EV_0045,escalate,low,human,Outcome satisfies supply_chain policy and domain checks,ai_simulated_human_roleplay
EV_0046,approve,high,human,Outcome satisfies code_review policy and domain checks,ai_simulated_human_roleplay
EV_0047,approve,high,tool,Outcome satisfies legal_intake policy and domain checks,ai_simulated_human_roleplay
EV_0048,request_more_info,medium,human,Outcome satisfies clinical_admin policy and domain checks,ai_simulated_human_roleplay
EV_0049,escalate,low,human,Outcome satisfies clinical_admin policy and domain checks,ai_simulated_human_roleplay
EV_0050,request_more_info,high,tool,Outcome satisfies legal_intake policy and domain checks,ai_simulated_human_roleplay
EV_0051,deny,medium,tool,Outcome satisfies billing_support policy and domain checks,ai_simulated_human_roleplay
EV_0052,approve,low,human,Outcome satisfies incident_triage policy and domain checks,ai_simulated_human_roleplay
EV_0053,deny,high,human,Outcome satisfies supply_chain policy and domain checks,ai_simulated_human_roleplay
EV_0054,approve,critical,tool,Outcome satisfies sales_ops policy and domain checks,ai_simulated_human_roleplay
EV_0055,deny,low,human,Outcome satisfies billing_support policy and domain checks,ai_simulated_human_roleplay
EV_0056,escalate,low,tool,Outcome satisfies supply_chain policy and domain checks,ai_simulated_human_roleplay
EV_0057,deny,low,tool,Outcome satisfies supply_chain policy and domain checks,ai_simulated_human_roleplay
EV_0058,request_more_info,medium,tool,Outcome satisfies legal_intake policy and domain checks,ai_simulated_human_roleplay
EV_0059,deny,high,tool,Outcome satisfies sales_ops policy and domain checks,ai_simulated_human_roleplay
EV_0060,approve,critical,human,Outcome satisfies billing_support policy and domain checks,ai_simulated_human_roleplay
EV_0061,approve,high,human,Outcome satisfies clinical_admin policy and domain checks,ai_simulated_human_roleplay
EV_0062,approve,high,tool,Outcome satisfies fraud_screening policy and domain checks,ai_simulated_human_roleplay
EV_0063,escalate,critical,human,Outcome satisfies sales_ops policy and domain checks,ai_simulated_human_roleplay
EV_0064,deny,high,tool,Outcome satisfies clinical_admin policy and domain checks,ai_simulated_human_roleplay
EV_0065,request_more_info,low,human,Outcome satisfies fraud_screening policy and domain checks,ai_simulated_human_roleplay
EV_0066,deny,medium,human,Outcome satisfies supply_chain policy and domain checks,ai_simulated_human_roleplay
EV_0067,request_more_info,high,tool,Outcome satisfies sales_ops policy and domain checks,ai_simulated_human_roleplay
EV_0068,deny,medium,human,Outcome satisfies sales_ops policy and domain checks,ai_simulated_human_roleplay
EV_0069,escalate,medium,human,Outcome satisfies billing_support policy and domain checks,ai_simulated_human_roleplay
EV_0070,request_more_info,high,human,Outcome satisfies billing_support policy and domain checks,ai_simulated_human_roleplay
EV_0071,escalate,medium,human,Outcome satisfies billing_support policy and domain checks,ai_simulated_human_roleplay
EV_0072,request_more_info,high,human,Outcome satisfies clinical_admin policy and domain checks,ai_simulated_human_roleplay
EV_0073,deny,low,human,Outcome satisfies legal_intake policy and domain checks,ai_simulated_human_roleplay
EV_0074,escalate,low,tool,Outcome satisfies legal_intake policy and domain checks,ai_simulated_human_roleplay
EV_0075,request_more_info,medium,tool,Outcome satisfies legal_intake policy and domain checks,ai_simulated_human_roleplay
EV_0076,approve,medium,human,Outcome satisfies fraud_screening policy and domain checks,ai_simulated_human_roleplay
EV_0077,deny,medium,human,Outcome satisfies code_review policy and domain checks,ai_simulated_human_roleplay
EV_0078,approve,medium,human,Outcome satisfies clinical_admin policy and domain checks,ai_simulated_human_roleplay
EV_0079,approve,high,human,Outcome satisfies supply_chain policy and domain checks,ai_simulated_human_roleplay
EV_0080,request_more_info,low,human,Outcome satisfies legal_intake policy and domain checks,ai_simulated_human_roleplay
EV_0081,approve,medium,human,Outcome satisfies code_review policy and domain checks,ai_simulated_human_roleplay
EV_0082,request_more_info,medium,human,Outcome satisfies supply_chain policy and domain checks,ai_simulated_human_roleplay
EV_0083,approve,high,tool,Outcome satisfies supply_chain policy and domain checks,ai_simulated_human_roleplay
EV_0084,deny,low,tool,Outcome satisfies billing_support policy and domain checks,ai_simulated_human_roleplay
EV_0085,escalate,low,tool,Outcome satisfies code_review policy and domain checks,ai_simulated_human_roleplay
EV_0086,request_more_info,medium,human,Outcome satisfies code_review policy and domain checks,ai_simulated_human_roleplay
EV_0087,deny,medium,tool,Outcome satisfies supply_chain policy and domain checks,ai_simulated_human_roleplay
EV_0088,request_more_info,medium,human,Outcome satisfies billing_support policy and domain checks,ai_simulated_human_roleplay
EV_0089,escalate,high,tool,Outcome satisfies billing_support policy and domain checks,ai_simulated_human_roleplay
EV_0090,escalate,medium,tool,Outcome satisfies billing_support policy and domain checks,ai_simulated_human_roleplay
EV_0091,approve,high,human,Outcome satisfies billing_support policy and domain checks,ai_simulated_human_roleplay
EV_0092,deny,medium,human,Outcome satisfies code_review policy and domain checks,ai_simulated_human_roleplay
EV_0093,escalate,medium,human,Outcome satisfies billing_support policy and domain checks,ai_simulated_human_roleplay
EV_0094,approve,low,human,Outcome satisfies incident_triage policy and domain checks,ai_simulated_human_roleplay
EV_0095,approve,medium,human,Outcome satisfies clinical_admin policy and domain checks,ai_simulated_human_roleplay
EV_0096,deny,low,human,Outcome satisfies legal_intake policy and domain checks,ai_simulated_human_roleplay
EV_0097,request_more_info,high,human,Outcome satisfies code_review policy and domain checks,ai_simulated_human_roleplay
EV_0098,approve,high,human,Outcome satisfies supply_chain policy and domain checks,ai_simulated_human_roleplay
EV_0099,request_more_info,medium,human,Outcome satisfies sales_ops policy and domain checks,ai_simulated_human_roleplay
EV_0100,escalate,low,tool,Outcome satisfies fraud_screening policy and domain checks,ai_simulated_human_roleplay
EV_0101,escalate,critical,human,Outcome satisfies supply_chain policy and domain checks,ai_simulated_human_roleplay
EV_0102,approve,medium,tool,Outcome satisfies incident_triage policy and domain checks,ai_simulated_human_roleplay
EV_0103,escalate,critical,tool,Outcome satisfies code_review policy and domain checks,ai_simulated_human_roleplay
EV_0104,approve,high,tool,Outcome satisfies supply_chain policy and domain checks,ai_simulated_human_roleplay
EV_0105,deny,medium,tool,Outcome satisfies clinical_admin policy and domain checks,ai_simulated_human_roleplay
EV_0106,escalate,low,tool,Outcome satisfies incident_triage policy and domain checks,ai_simulated_human_roleplay
EV_0107,escalate,medium,human,Outcome satisfies sales_ops policy and domain checks,ai_simulated_human_roleplay
EV_0108,approve,high,tool,Outcome satisfies supply_chain policy and domain checks,ai_simulated_human_roleplay
EV_0109,request_more_info,medium,tool,Outcome satisfies supply_chain policy and domain checks,ai_simulated_human_roleplay
EV_0110,approve,high,human,Outcome satisfies supply_chain policy and domain checks,ai_simulated_human_roleplay
EV_0111,request_more_info,low,tool,Outcome satisfies billing_support policy and domain checks,ai_simulated_human_roleplay
EV_0112,request_more_info,medium,tool,Outcome satisfies sales_ops policy and domain checks,ai_simulated_human_roleplay
EV_0113,deny,medium,human,Outcome satisfies sales_ops policy and domain checks,ai_simulated_human_roleplay
EV_0114,approve,medium,human,Outcome satisfies incident_triage policy and domain checks,ai_simulated_human_roleplay
EV_0115,deny,low,tool,Outcome satisfies supply_chain policy and domain checks,ai_simulated_human_roleplay
EV_0116,escalate,medium,tool,Outcome satisfies billing_support policy and domain checks,ai_simulated_human_roleplay
EV_0117,request_more_info,low,human,Outcome satisfies clinical_admin policy and domain checks,ai_simulated_human_roleplay
EV_0118,request_more_info,medium,human,Outcome satisfies fraud_screening policy and domain checks,ai_simulated_human_roleplay
EV_0119,escalate,high,human,Outcome satisfies clinical_admin policy and domain checks,ai_simulated_human_roleplay
EV_0120,deny,medium,human,Outcome satisfies supply_chain policy and domain checks,ai_simulated_human_roleplay
EV_0121,approve,medium,human,Outcome satisfies sales_ops policy and domain checks,ai_simulated_human_roleplay
EV_0122,request_more_info,high,tool,Outcome satisfies code_review policy and domain checks,ai_simulated_human_roleplay
EV_0123,escalate,low,tool,Outcome satisfies code_review policy and domain checks,ai_simulated_human_roleplay
EV_0124,escalate,low,human,Outcome satisfies fraud_screening policy and domain checks,ai_simulated_human_roleplay
EV_0125,escalate,critical,tool,Outcome satisfies incident_triage policy and domain checks,ai_simulated_human_roleplay
EV_0126,deny,medium,human,Outcome satisfies incident_triage policy and domain checks,ai_simulated_human_roleplay
EV_0127,approve,medium,tool,Outcome satisfies code_review policy and domain checks,ai_simulated_human_roleplay
EV_0128,request_more_info,medium,human,Outcome satisfies code_review policy and domain checks,ai_simulated_human_roleplay
EV_0129,deny,medium,human,Outcome satisfies legal_intake policy and domain checks,ai_simulated_human_roleplay
EV_0130,escalate,low,tool,Outcome satisfies legal_intake policy and domain checks,ai_simulated_human_roleplay
EV_0131,request_more_info,medium,human,Outcome satisfies code_review policy and domain checks,ai_simulated_human_roleplay
EV_0132,deny,medium,tool,Outcome satisfies clinical_admin policy and domain checks,ai_simulated_human_roleplay
EV_0133,escalate,low,tool,Outcome satisfies incident_triage policy and domain checks,ai_simulated_human_roleplay
EV_0134,approve,medium,tool,Outcome satisfies supply_chain policy and domain checks,ai_simulated_human_roleplay
EV_0135,approve,low,tool,Outcome satisfies code_review policy and domain checks,ai_simulated_human_roleplay
EV_0136,approve,low,tool,Outcome satisfies supply_chain policy and domain checks,ai_simulated_human_roleplay
EV_0137,deny,low,tool,Outcome satisfies legal_intake policy and domain checks,ai_simulated_human_roleplay
EV_0138,approve,low,human,Outcome satisfies sales_ops policy and domain checks,ai_simulated_human_roleplay
EV_0139,request_more_info,low,human,Outcome satisfies supply_chain policy and domain checks,ai_simulated_human_roleplay
EV_0140,escalate,low,tool,Outcome satisfies clinical_admin policy and domain checks,ai_simulated_human_roleplay
EV_0141,request_more_info,medium,tool,Outcome satisfies fraud_screening policy and domain checks,ai_simulated_human_roleplay
EV_0142,deny,medium,human,Outcome satisfies fraud_screening policy and domain checks,ai_simulated_human_roleplay
EV_0143,escalate,medium,human,Outcome satisfies fraud_screening policy and domain checks,ai_simulated_human_roleplay
EV_0144,deny,low,tool,Outcome satisfies legal_intake policy and domain checks,ai_simulated_human_roleplay
EV_0145,approve,low,tool,Outcome satisfies code_review policy and domain checks,ai_simulated_human_roleplay
EV_0146,approve,critical,human,Outcome satisfies sales_ops policy and domain checks,ai_simulated_human_roleplay
EV_0147,escalate,medium,tool,Outcome satisfies legal_intake policy and domain checks,ai_simulated_human_roleplay
EV_0148,request_more_info,high,tool,Outcome satisfies sales_ops policy and domain checks,ai_simulated_human_roleplay
EV_0149,request_more_info,high,human,Outcome satisfies sales_ops policy and domain checks,ai_simulated_human_roleplay
EV_0150,escalate,low,human,Outcome satisfies incident_triage policy and domain checks,ai_simulated_human_roleplay
EV_0151,escalate,medium,human,Outcome satisfies clinical_admin policy and domain checks,ai_simulated_human_roleplay
EV_0152,request_more_info,low,human,Outcome satisfies supply_chain policy and domain checks,ai_simulated_human_roleplay
EV_0153,deny,low,tool,Outcome satisfies sales_ops policy and domain checks,ai_simulated_human_roleplay
EV_0154,request_more_info,low,human,Outcome satisfies billing_support policy and domain checks,ai_simulated_human_roleplay
EV_0155,approve,low,human,Outcome satisfies supply_chain policy and domain checks,ai_simulated_human_roleplay
EV_0156,deny,high,human,Outcome satisfies billing_support policy and domain checks,ai_simulated_human_roleplay
EV_0157,request_more_info,medium,human,Outcome satisfies supply_chain policy and domain checks,ai_simulated_human_roleplay
EV_0158,request_more_info,medium,tool,Outcome satisfies billing_support policy and domain checks,ai_simulated_human_roleplay
EV_0159,deny,medium,tool,Outcome satisfies incident_triage policy and domain checks,ai_simulated_human_roleplay
EV_0160,request_more_info,high,human,Outcome satisfies clinical_admin policy and domain checks,ai_simulated_human_roleplay
EV_0161,approve,critical,tool,Outcome satisfies legal_intake policy and domain checks,ai_simulated_human_roleplay
EV_0162,escalate,low,tool,Outcome satisfies supply_chain policy and domain checks,ai_simulated_human_roleplay
EV_0163,approve,high,human,Outcome satisfies code_review policy and domain checks,ai_simulated_human_roleplay
EV_0164,escalate,high,tool,Outcome satisfies legal_intake policy and domain checks,ai_simulated_human_roleplay
EV_0165,request_more_info,medium,human,Outcome satisfies legal_intake policy and domain checks,ai_simulated_human_roleplay
EV_0166,request_more_info,low,tool,Outcome satisfies legal_intake policy and domain checks,ai_simulated_human_roleplay
EV_0167,deny,high,tool,Outcome satisfies incident_triage policy and domain checks,ai_simulated_human_roleplay
EV_0168,approve,medium,tool,Outcome satisfies sales_ops policy and domain checks,ai_simulated_human_roleplay
EV_0169,approve,low,human,Outcome satisfies incident_triage policy and domain checks,ai_simulated_human_roleplay
EV_0170,request_more_info,low,human,Outcome satisfies code_review policy and domain checks,ai_simulated_human_roleplay
EV_0171,approve,low,human,Outcome satisfies incident_triage policy and domain checks,ai_simulated_human_roleplay
EV_0172,deny,high,tool,Outcome satisfies supply_chain policy and domain checks,ai_simulated_human_roleplay
EV_0173,request_more_info,low,tool,Outcome satisfies code_review policy and domain checks,ai_simulated_human_roleplay
EV_0174,escalate,high,human,Outcome satisfies sales_ops policy and domain checks,ai_simulated_human_roleplay
EV_0175,escalate,low,human,Outcome satisfies supply_chain policy and domain checks,ai_simulated_human_roleplay
EV_0176,request_more_info,high,tool,Outcome satisfies legal_intake policy and domain checks,ai_simulated_human_roleplay
EV_0177,escalate,medium,tool,Outcome satisfies supply_chain policy and domain checks,ai_simulated_human_roleplay
EV_0178,deny,low,tool,Outcome satisfies supply_chain policy and domain checks,ai_simulated_human_roleplay
EV_0179,escalate,high,tool,Outcome satisfies legal_intake policy and domain checks,ai_simulated_human_roleplay
EV_0180,deny,low,tool,Outcome satisfies legal_intake policy and domain checks,ai_simulated_human_roleplay
EV_0181,deny,low,tool,Outcome satisfies supply_chain policy and domain checks,ai_simulated_human_roleplay
EV_0182,deny,low,tool,Outcome satisfies sales_ops policy and domain checks,ai_simulated_human_roleplay
EV_0183,approve,high,tool,Outcome satisfies supply_chain policy and domain checks,ai_simulated_human_roleplay
EV_0184,deny,low,human,Outcome satisfies billing_support policy and domain checks,ai_simulated_human_roleplay
EV_0185,approve,high,tool,Outcome satisfies clinical_admin policy and domain checks,ai_simulated_human_roleplay
EV_0186,approve,medium,tool,Outcome satisfies supply_chain policy and domain checks,ai_simulated_human_roleplay
EV_0187,deny,low,human,Outcome satisfies clinical_admin policy and domain checks,ai_simulated_human_roleplay
EV_0188,escalate,medium,human,Outcome satisfies legal_intake policy and domain checks,ai_simulated_human_roleplay
EV_0189,request_more_info,medium,tool,Outcome satisfies billing_support policy and domain checks,ai_simulated_human_roleplay
EV_0190,approve,critical,human,Outcome satisfies legal_intake policy and domain checks,ai_simulated_human_roleplay
EV_0191,request_more_info,medium,human,Outcome satisfies clinical_admin policy and domain checks,ai_simulated_human_roleplay
EV_0192,request_more_info,medium,human,Outcome satisfies code_review policy and domain checks,ai_simulated_human_roleplay
EV_0193,approve,low,human,Outcome satisfies code_review policy and domain checks,ai_simulated_human_roleplay
EV_0194,request_more_info,high,tool,Outcome satisfies legal_intake policy and domain checks,ai_simulated_human_roleplay
EV_0195,approve,high,tool,Outcome satisfies billing_support policy and domain checks,ai_simulated_human_roleplay
EV_0196,deny,critical,human,Outcome satisfies fraud_screening policy and domain checks,ai_simulated_human_roleplay
EV_0197,request_more_info,low,human,Outcome satisfies legal_intake policy and domain checks,ai_simulated_human_roleplay
EV_0198,approve,low,tool,Outcome satisfies legal_intake policy and domain checks,ai_simulated_human_roleplay
EV_0199,deny,medium,tool,Outcome satisfies fraud_screening policy and domain checks,ai_simulated_human_roleplay
EV_0200,deny,high,human,Outcome satisfies incident_triage policy and domain checks,ai_simulated_human_roleplay
EV_0201,approve,medium,tool,Outcome satisfies incident_triage policy and domain checks,ai_simulated_human_roleplay
EV_0202,request_more_info,high,human,Outcome satisfies code_review policy and domain checks,ai_simulated_human_roleplay
EV_0203,request_more_info,low,tool,Outcome satisfies sales_ops policy and domain checks,ai_simulated_human_roleplay
EV_0204,deny,medium,tool,Outcome satisfies legal_intake policy and domain checks,ai_simulated_human_roleplay
EV_0205,escalate,medium,human,Outcome satisfies legal_intake policy and domain checks,ai_simulated_human_roleplay
EV_0206,request_more_info,high,tool,Outcome satisfies legal_intake policy and domain checks,ai_simulated_human_roleplay
EV_0207,deny,low,tool,Outcome satisfies legal_intake policy and domain checks,ai_simulated_human_roleplay
EV_0208,escalate,low,tool,Outcome satisfies supply_chain policy and domain checks,ai_simulated_human_roleplay
EV_0209,escalate,low,human,Outcome satisfies supply_chain policy and domain checks,ai_simulated_human_roleplay
EV_0210,deny,low,tool,Outcome satisfies billing_support policy and domain checks,ai_simulated_human_roleplay
EV_0211,deny,medium,tool,Outcome satisfies billing_support policy and domain checks,ai_simulated_human_roleplay
EV_0212,escalate,critical,human,Outcome satisfies billing_support policy and domain checks,ai_simulated_human_roleplay
EV_0213,escalate,high,tool,Outcome satisfies sales_ops policy and domain checks,ai_simulated_human_roleplay
EV_0214,deny,medium,tool,Outcome satisfies fraud_screening policy and domain checks,ai_simulated_human_roleplay
EV_0215,deny,high,tool,Outcome satisfies clinical_admin policy and domain checks,ai_simulated_human_roleplay
EV_0216,deny,medium,human,Outcome satisfies fraud_screening policy and domain checks,ai_simulated_human_roleplay
EV_0217,escalate,high,human,Outcome satisfies incident_triage policy and domain checks,ai_simulated_human_roleplay
EV_0218,deny,low,tool,Outcome satisfies supply_chain policy and domain checks,ai_simulated_human_roleplay
EV_0219,approve,critical,human,Outcome satisfies legal_intake policy and domain checks,ai_simulated_human_roleplay
EV_0220,request_more_info,medium,tool,Outcome satisfies incident_triage policy and domain checks,ai_simulated_human_roleplay
EV_0221,approve,low,tool,Outcome satisfies sales_ops policy and domain checks,ai_simulated_human_roleplay
EV_0222,escalate,low,human,Outcome satisfies code_review policy and domain checks,ai_simulated_human_roleplay
EV_0223,deny,low,human,Outcome satisfies sales_ops policy and domain checks,ai_simulated_human_roleplay
EV_0224,deny,high,tool,Outcome satisfies sales_ops policy and domain checks,ai_simulated_human_roleplay
EV_0225,request_more_info,medium,tool,Outcome satisfies clinical_admin policy and domain checks,ai_simulated_human_roleplay
EV_0226,deny,low,human,Outcome satisfies sales_ops policy and domain checks,ai_simulated_human_roleplay
EV_0227,deny,low,human,Outcome satisfies billing_support policy and domain checks,ai_simulated_human_roleplay
EV_0228,approve,high,human,Outcome satisfies billing_support policy and domain checks,ai_simulated_human_roleplay
EV_0229,escalate,high,human,Outcome satisfies sales_ops policy and domain checks,ai_simulated_human_roleplay
EV_0230,approve,high,human,Outcome satisfies legal_intake policy and domain checks,ai_simulated_human_roleplay
EV_0231,escalate,medium,human,Outcome satisfies supply_chain policy and domain checks,ai_simulated_human_roleplay
EV_0232,request_more_info,high,tool,Outcome satisfies sales_ops policy and domain checks,ai_simulated_human_roleplay
EV_0233,request_more_info,critical,human,Outcome satisfies legal_intake policy and domain checks,ai_simulated_human_roleplay
EV_0234,approve,low,tool,Outcome satisfies incident_triage policy and domain checks,ai_simulated_human_roleplay
EV_0235,request_more_info,critical,human,Outcome satisfies supply_chain policy and domain checks,ai_simulated_human_roleplay
EV_0236,escalate,low,human,Outcome satisfies supply_chain policy and domain checks,ai_simulated_human_roleplay
EV_0237,deny,medium,tool,Outcome satisfies sales_ops policy and domain checks,ai_simulated_human_roleplay
EV_0238,deny,low,tool,Outcome satisfies legal_intake policy and domain checks,ai_simulated_human_roleplay
EV_0239,request_more_info,low,tool,Outcome satisfies supply_chain policy and domain checks,ai_simulated_human_roleplay
EV_0240,escalate,low,human,Outcome satisfies code_review policy and domain checks,ai_simulated_human_roleplay
EV_0241,approve,critical,tool,Outcome satisfies incident_triage policy and domain checks,ai_simulated_human_roleplay
EV_0242,approve,low,tool,Outcome satisfies legal_intake policy and domain checks,ai_simulated_human_roleplay
EV_0243,approve,medium,tool,Outcome satisfies billing_support policy and domain checks,ai_simulated_human_roleplay
EV_0244,escalate,medium,tool,Outcome satisfies incident_triage policy and domain checks,ai_simulated_human_roleplay
EV_0245,deny,critical,human,Outcome satisfies billing_support policy and domain checks,ai_simulated_human_roleplay
EV_0246,request_more_info,low,tool,Outcome satisfies billing_support policy and domain checks,ai_simulated_human_roleplay
EV_0247,approve,low,tool,Outcome satisfies billing_support policy and domain checks,ai_simulated_human_roleplay
EV_0248,deny,medium,tool,Outcome satisfies billing_support policy and domain checks,ai_simulated_human_roleplay
EV_0249,escalate,critical,tool,Outcome satisfies clinical_admin policy and domain checks,ai_simulated_human_roleplay
EV_0250,escalate,low,tool,Outcome satisfies billing_support policy and domain checks,ai_simulated_human_roleplay
EV_0251,approve,high,human,Outcome satisfies billing_support policy and domain checks,ai_simulated_human_roleplay
EV_0252,deny,medium,tool,Outcome satisfies incident_triage policy and domain checks,ai_simulated_human_roleplay
EV_0253,approve,medium,human,Outcome satisfies code_review policy and domain checks,ai_simulated_human_roleplay
EV_0254,escalate,high,human,Outcome satisfies clinical_admin policy and domain checks,ai_simulated_human_roleplay
EV_0255,request_more_info,low,tool,Outcome satisfies supply_chain policy and domain checks,ai_simulated_human_roleplay
EV_0256,escalate,medium,tool,Outcome satisfies fraud_screening policy and domain checks,ai_simulated_human_roleplay
EV_0257,approve,low,tool,Outcome satisfies clinical_admin policy and domain checks,ai_simulated_human_roleplay
EV_0258,request_more_info,low,human,Outcome satisfies clinical_admin policy and domain checks,ai_simulated_human_roleplay
EV_0259,approve,medium,human,Outcome satisfies code_review policy and domain checks,ai_simulated_human_roleplay
EV_0260,escalate,medium,tool,Outcome satisfies sales_ops policy and domain checks,ai_simulated_human_roleplay
EV_0261,approve,medium,human,Outcome satisfies incident_triage policy and domain checks,ai_simulated_human_roleplay
EV_0262,approve,high,human,Outcome satisfies code_review policy and domain checks,ai_simulated_human_roleplay
EV_0263,request_more_info,high,human,Outcome satisfies fraud_screening policy and domain checks,ai_simulated_human_roleplay
EV_0264,deny,medium,human,Outcome satisfies code_review policy and domain checks,ai_simulated_human_roleplay
EV_0265,deny,critical,human,Outcome satisfies code_review policy and domain checks,ai_simulated_human_roleplay
EV_0266,escalate,medium,tool,Outcome satisfies code_review policy and domain checks,ai_simulated_human_roleplay
EV_0267,deny,critical,human,Outcome satisfies clinical_admin policy and domain checks,ai_simulated_human_roleplay
EV_0268,escalate,medium,tool,Outcome satisfies supply_chain policy and domain checks,ai_simulated_human_roleplay
EV_0269,deny,medium,human,Outcome satisfies legal_intake policy and domain checks,ai_simulated_human_roleplay
EV_0270,deny,low,tool,Outcome satisfies supply_chain policy and domain checks,ai_simulated_human_roleplay
EV_0271,deny,low,tool,Outcome satisfies fraud_screening policy and domain checks,ai_simulated_human_roleplay
EV_0272,deny,medium,human,Outcome satisfies billing_support policy and domain checks,ai_simulated_human_roleplay
EV_0273,escalate,critical,tool,Outcome satisfies clinical_admin policy and domain checks,ai_simulated_human_roleplay
EV_0274,escalate,low,tool,Outcome satisfies legal_intake policy and domain checks,ai_simulated_human_roleplay
EV_0275,deny,medium,human,Outcome satisfies legal_intake policy and domain checks,ai_simulated_human_roleplay
EV_0276,deny,high,human,Outcome satisfies legal_intake policy and domain checks,ai_simulated_human_roleplay
EV_0277,request_more_info,high,tool,Outcome satisfies billing_support policy and domain checks,ai_simulated_human_roleplay
EV_0278,deny,medium,tool,Outcome satisfies supply_chain policy and domain checks,ai_simulated_human_roleplay
EV_0279,approve,low,human,Outcome satisfies sales_ops policy and domain checks,ai_simulated_human_roleplay
EV_0280,escalate,medium,tool,Outcome satisfies legal_intake policy and domain checks,ai_simulated_human_roleplay
