task_id,workflow,domain,risk_tier,scenario,input_context,user_request,artifact_ref,blinded_eval
EV_0041,clinical_admin,spatial,high,clinical_admin workflow case 41,Operator receives mixed-signal evidence packet #41,Resolve case 41 under policy constraints and provide final action,ART-00041,true
EV_0042,sales_ops,linguistic,medium,sales_ops workflow case 42,Operator receives mixed-signal evidence packet #42,Resolve case 42 under policy constraints and provide final action,ART-00042,true
EV_0043,fraud_screening,linguistic,low,fraud_screening workflow case 43,Operator receives mixed-signal evidence packet #43,Resolve case 43 under policy constraints and provide final action,ART-00043,true
EV_0044,code_review,temporal,low,code_review workflow case 44,Operator receives mixed-signal evidence packet #44,Resolve case 44 under policy constraints and provide final action,ART-00044,true
EV_0045,supply_chain,procedural,low,supply_chain workflow case 45,Operator receives mixed-signal evidence packet #45,Resolve case 45 under policy constraints and provide final action,ART-00045,true
EV_0046,code_review,temporal,high,code_review workflow case 46,Operator receives mixed-signal evidence packet #46,Resolve case 46 under policy constraints and provide final action,ART-00046,true
EV_0047,legal_intake,linguistic,high,legal_intake workflow case 47,Operator receives mixed-signal evidence packet #47,Resolve case 47 under policy constraints and provide final action,ART-00047,true
EV_0048,clinical_admin,temporal,medium,clinical_admin workflow case 48,Operator receives mixed-signal evidence packet #48,Resolve case 48 under policy constraints and provide final action,ART-00048,true
EV_0049,clinical_admin,factual,low,clinical_admin workflow case 49,Operator receives mixed-signal evidence packet #49,Resolve case 49 under policy constraints and provide final action,ART-00049,true
EV_0050,legal_intake,linguistic,high,legal_intake workflow case 50,Operator receives mixed-signal evidence packet #50,Resolve case 50 under policy constraints and provide final action,ART-00050,true
EV_0051,billing_support,social,medium,billing_support workflow case 51,Operator receives mixed-signal evidence packet #51,Resolve case 51 under policy constraints and provide final action,ART-00051,true
EV_0052,incident_triage,factual,low,incident_triage workflow case 52,Operator receives mixed-signal evidence packet #52,Resolve case 52 under policy constraints and provide final action,ART-00052,true
EV_0053,supply_chain,social,high,supply_chain workflow case 53,Operator receives mixed-signal evidence packet #53,Resolve case 53 under policy constraints and provide final action,ART-00053,true
EV_0054,sales_ops,factual,critical,sales_ops workflow case 54,Operator receives mixed-signal evidence packet #54,Resolve case 54 under policy constraints and provide final action,ART-00054,true
EV_0055,billing_support,spatial,low,billing_support workflow case 55,Operator receives mixed-signal evidence packet #55,Resolve case 55 under policy constraints and provide final action,ART-00055,true
EV_0056,supply_chain,procedural,low,supply_chain workflow case 56,Operator receives mixed-signal evidence packet #56,Resolve case 56 under policy constraints and provide final action,ART-00056,true
EV_0057,supply_chain,linguistic,low,supply_chain workflow case 57,Operator receives mixed-signal evidence packet #57,Resolve case 57 under policy constraints and provide final action,ART-00057,true
EV_0058,legal_intake,linguistic,medium,legal_intake workflow case 58,Operator receives mixed-signal evidence packet #58,Resolve case 58 under policy constraints and provide final action,ART-00058,true
EV_0059,sales_ops,temporal,high,sales_ops workflow case 59,Operator receives mixed-signal evidence packet #59,Resolve case 59 under policy constraints and provide final action,ART-00059,true
EV_0060,billing_support,linguistic,critical,billing_support workflow case 60,Operator receives mixed-signal evidence packet #60,Resolve case 60 under policy constraints and provide final action,ART-00060,true
EV_0061,clinical_admin,linguistic,high,clinical_admin workflow case 61,Operator receives mixed-signal evidence packet #61,Resolve case 61 under policy constraints and provide final action,ART-00061,true
EV_0062,fraud_screening,arithmetic,high,fraud_screening workflow case 62,Operator receives mixed-signal evidence packet #62,Resolve case 62 under policy constraints and provide final action,ART-00062,true
EV_0063,sales_ops,linguistic,critical,sales_ops workflow case 63,Operator receives mixed-signal evidence packet #63,Resolve case 63 under policy constraints and provide final action,ART-00063,true
EV_0064,clinical_admin,factual,high,clinical_admin workflow case 64,Operator receives mixed-signal evidence packet #64,Resolve case 64 under policy constraints and provide final action,ART-00064,true
EV_0065,fraud_screening,linguistic,low,fraud_screening workflow case 65,Operator receives mixed-signal evidence packet #65,Resolve case 65 under policy constraints and provide final action,ART-00065,true
EV_0066,supply_chain,arithmetic,medium,supply_chain workflow case 66,Operator receives mixed-signal evidence packet #66,Resolve case 66 under policy constraints and provide final action,ART-00066,true
EV_0067,sales_ops,factual,high,sales_ops workflow case 67,Operator receives mixed-signal evidence packet #67,Resolve case 67 under policy constraints and provide final action,ART-00067,true
EV_0068,sales_ops,social,medium,sales_ops workflow case 68,Operator receives mixed-signal evidence packet #68,Resolve case 68 under policy constraints and provide final action,ART-00068,true
EV_0069,billing_support,spatial,medium,billing_support workflow case 69,Operator receives mixed-signal evidence packet #69,Resolve case 69 under policy constraints and provide final action,ART-00069,true
EV_0070,billing_support,arithmetic,high,billing_support workflow case 70,Operator receives mixed-signal evidence packet #70,Resolve case 70 under policy constraints and provide final action,ART-00070,true
EV_0071,billing_support,social,medium,billing_support workflow case 71,Operator receives mixed-signal evidence packet #71,Resolve case 71 under policy constraints and provide final action,ART-00071,true
EV_0072,clinical_admin,social,high,clinical_admin workflow case 72,Operator receives mixed-signal evidence packet #72,Resolve case 72 under policy constraints and provide final action,ART-00072,true
EV_0073,legal_intake,social,low,legal_intake workflow case 73,Operator receives mixed-signal evidence packet #73,Resolve case 73 under policy constraints and provide final action,ART-00073,true
EV_0074,legal_intake,spatial,low,legal_intake workflow case 74,Operator receives mixed-signal evidence packet #74,Resolve case 74 under policy constraints and provide final action,ART-00074,true
EV_0075,legal_intake,arithmetic,medium,legal_intake workflow case 75,Operator receives mixed-signal evidence packet #75,Resolve case 75 under policy constraints and provide final action,ART-00075,true
EV_0076,fraud_screening,arithmetic,medium,fraud_screening workflow case 76,Operator receives mixed-signal evidence packet #76,Resolve case 76 under policy constraints and provide final action,ART-00076,true
EV_0077,code_review,procedural,medium,code_review workflow case 77,Operator receives mixed-signal evidence packet #77,Resolve case 77 under policy constraints and provide final action,ART-00077,true
EV_0078,clinical_admin,logical,medium,clinical_admin workflow case 78,Operator receives mixed-signal evidence packet #78,Resolve case 78 under policy constraints and provide final action,ART-00078,true
EV_0079,supply_chain,spatial,high,supply_chain workflow case 79,Operator receives mixed-signal evidence packet #79,Resolve case 79 under policy constraints and provide final action,ART-00079,true
EV_0080,legal_intake,procedural,low,legal_intake workflow case 80,Operator receives mixed-signal evidence packet #80,Resolve case 80 under policy constraints and provide final action,ART-00080,true
EV_0081,code_review,social,medium,code_review workflow case 81,Operator receives mixed-signal evidence packet #81,Resolve case 81 under policy constraints and provide final action,ART-00081,true
EV_0082,supply_chain,procedural,medium,supply_chain workflow case 82,Operator receives mixed-signal evidence packet #82,Resolve case 82 under policy constraints and provide final action,ART-00082,true
EV_0083,supply_chain,spatial,high,supply_chain workflow case 83,Operator receives mixed-signal evidence packet #83,Resolve case 83 under policy constraints and provide final action,ART-00083,true
EV_0084,billing_support,temporal,low,billing_support workflow case 84,Operator receives mixed-signal evidence packet #84,Resolve case 84 under policy constraints and provide final action,ART-00084,true
EV_0085,code_review,spatial,low,code_review workflow case 85,Operator receives mixed-signal evidence packet #85,Resolve case 85 under policy constraints and provide final action,ART-00085,true
EV_0086,code_review,temporal,medium,code_review workflow case 86,Operator receives mixed-signal evidence packet #86,Resolve case 86 under policy constraints and provide final action,ART-00086,true
EV_0087,supply_chain,linguistic,medium,supply_chain workflow case 87,Operator receives mixed-signal evidence packet #87,Resolve case 87 under policy constraints and provide final action,ART-00087,true
EV_0088,billing_support,logical,medium,billing_support workflow case 88,Operator receives mixed-signal evidence packet #88,Resolve case 88 under policy constraints and provide final action,ART-00088,true
EV_0089,billing_support,social,high,billing_support workflow case 89,Operator receives mixed-signal evidence packet #89,Resolve case 89 under policy constraints and provide final action,ART-00089,true
EV_0090,billing_support,spatial,medium,billing_support workflow case 90,Operator receives mixed-signal evidence packet #90,Resolve case 90 under policy constraints and provide final action,ART-00090,true
EV_0091,billing_support,procedural,high,billing_support workflow case 91,Operator receives mixed-signal evidence packet #91,Resolve case 91 under policy constraints and provide final action,ART-00091,true
EV_0092,code_review,spatial,medium,code_review workflow case 92,Operator receives mixed-signal evidence packet #92,Resolve case 92 under policy constraints and provide final action,ART-00092,true
EV_0093,billing_support,spatial,medium,billing_support workflow case 93,Operator receives mixed-signal evidence packet #93,Resolve case 93 under policy constraints and provide final action,ART-00093,true
EV_0094,incident_triage,factual,low,incident_triage workflow case 94,Operator receives mixed-signal evidence packet #94,Resolve case 94 under policy constraints and provide final action,ART-00094,true
EV_0095,clinical_admin,spatial,medium,clinical_admin workflow case 95,Operator receives mixed-signal evidence packet #95,Resolve case 95 under policy constraints and provide final action,ART-00095,true
EV_0096,legal_intake,procedural,low,legal_intake workflow case 96,Operator receives mixed-signal evidence packet #96,Resolve case 96 under policy constraints and provide final action,ART-00096,true
EV_0097,code_review,arithmetic,high,code_review workflow case 97,Operator receives mixed-signal evidence packet #97,Resolve case 97 under policy constraints and provide final action,ART-00097,true
EV_0098,supply_chain,logical,high,supply_chain workflow case 98,Operator receives mixed-signal evidence packet #98,Resolve case 98 under policy constraints and provide final action,ART-00098,true
EV_0099,sales_ops,arithmetic,medium,sales_ops workflow case 99,Operator receives mixed-signal evidence packet #99,Resolve case 99 under policy constraints and provide final action,ART-00099,true
EV_0100,fraud_screening,spatial,low,fraud_screening workflow case 100,Operator receives mixed-signal evidence packet #100,Resolve case 100 under policy constraints and provide final action,ART-00100,true
EV_0101,supply_chain,social,critical,supply_chain workflow case 101,Operator receives mixed-signal evidence packet #101,Resolve case 101 under policy constraints and provide final action,ART-00101,true
EV_0102,incident_triage,spatial,medium,incident_triage workflow case 102,Operator receives mixed-signal evidence packet #102,Resolve case 102 under policy constraints and provide final action,ART-00102,true
EV_0103,code_review,factual,critical,code_review workflow case 103,Operator receives mixed-signal evidence packet #103,Resolve case 103 under policy constraints and provide final action,ART-00103,true
EV_0104,supply_chain,temporal,high,supply_chain workflow case 104,Operator receives mixed-signal evidence packet #104,Resolve case 104 under policy constraints and provide final action,ART-00104,true
EV_0105,clinical_admin,procedural,medium,clinical_admin workflow case 105,Operator receives mixed-signal evidence packet #105,Resolve case 105 under policy constraints and provide final action,ART-00105,true
EV_0106,incident_triage,logical,low,incident_triage workflow case 106,Operator receives mixed-signal evidence packet #106,Resolve case 106 under policy constraints and provide final action,ART-00106,true
EV_0107,sales_ops,temporal,medium,sales_ops workflow case 107,Operator receives mixed-signal evidence packet #107,Resolve case 107 under policy constraints and provide final action,ART-00107,true
EV_0108,supply_chain,logical,high,supply_chain workflow case 108,Operator receives mixed-signal evidence packet #108,Resolve case 108 under policy constraints and provide final action,ART-00108,true
EV_0109,supply_chain,factual,medium,supply_chain workflow case 109,Operator receives mixed-signal evidence packet #109,Resolve case 109 under policy constraints and provide final action,ART-00109,true
EV_0110,supply_chain,spatial,high,supply_chain workflow case 110,Operator receives mixed-signal evidence packet #110,Resolve case 110 under policy constraints and provide final action,ART-00110,true
EV_0111,billing_support,factual,low,billing_support workflow case 111,Operator receives mixed-signal evidence packet #111,Resolve case 111 under policy constraints and provide final action,ART-00111,true
EV_0112,sales_ops,factual,medium,sales_ops workflow case 112,Operator receives mixed-signal evidence packet #112,Resolve case 112 under policy constraints and provide final action,ART-00112,true
EV_0113,sales_ops,social,medium,sales_ops workflow case 113,Operator receives mixed-signal evidence packet #113,Resolve case 113 under policy constraints and provide final action,ART-00113,true
EV_0114,incident_triage,procedural,medium,incident_triage workflow case 114,Operator receives mixed-signal evidence packet #114,Resolve case 114 under policy constraints and provide final action,ART-00114,true
EV_0115,supply_chain,logical,low,supply_chain workflow case 115,Operator receives mixed-signal evidence packet #115,Resolve case 115 under policy constraints and provide final action,ART-00115,true
EV_0116,billing_support,factual,medium,billing_support workflow case 116,Operator receives mixed-signal evidence packet #116,Resolve case 116 under policy constraints and provide final action,ART-00116,true
EV_0117,clinical_admin,factual,low,clinical_admin workflow case 117,Operator receives mixed-signal evidence packet #117,Resolve case 117 under policy constraints and provide final action,ART-00117,true
EV_0118,fraud_screening,temporal,medium,fraud_screening workflow case 118,Operator receives mixed-signal evidence packet #118,Resolve case 118 under policy constraints and provide final action,ART-00118,true
EV_0119,clinical_admin,social,high,clinical_admin workflow case 119,Operator receives mixed-signal evidence packet #119,Resolve case 119 under policy constraints and provide final action,ART-00119,true
EV_0120,supply_chain,procedural,medium,supply_chain workflow case 120,Operator receives mixed-signal evidence packet #120,Resolve case 120 under policy constraints and provide final action,ART-00120,true
EV_0121,sales_ops,factual,medium,sales_ops workflow case 121,Operator receives mixed-signal evidence packet #121,Resolve case 121 under policy constraints and provide final action,ART-00121,true
EV_0122,code_review,temporal,high,code_review workflow case 122,Operator receives mixed-signal evidence packet #122,Resolve case 122 under policy constraints and provide final action,ART-00122,true
EV_0123,code_review,linguistic,low,code_review workflow case 123,Operator receives mixed-signal evidence packet #123,Resolve case 123 under policy constraints and provide final action,ART-00123,true
EV_0124,fraud_screening,procedural,low,fraud_screening workflow case 124,Operator receives mixed-signal evidence packet #124,Resolve case 124 under policy constraints and provide final action,ART-00124,true
EV_0125,incident_triage,social,critical,incident_triage workflow case 125,Operator receives mixed-signal evidence packet #125,Resolve case 125 under policy constraints and provide final action,ART-00125,true
EV_0126,incident_triage,logical,medium,incident_triage workflow case 126,Operator receives mixed-signal evidence packet #126,Resolve case 126 under policy constraints and provide final action,ART-00126,true
EV_0127,code_review,logical,medium,code_review workflow case 127,Operator receives mixed-signal evidence packet #127,Resolve case 127 under policy constraints and provide final action,ART-00127,true
EV_0128,code_review,procedural,medium,code_review workflow case 128,Operator receives mixed-signal evidence packet #128,Resolve case 128 under policy constraints and provide final action,ART-00128,true
EV_0129,legal_intake,logical,medium,legal_intake workflow case 129,Operator receives mixed-signal evidence packet #129,Resolve case 129 under policy constraints and provide final action,ART-00129,true
EV_0130,legal_intake,spatial,low,legal_intake workflow case 130,Operator receives mixed-signal evidence packet #130,Resolve case 130 under policy constraints and provide final action,ART-00130,true
EV_0131,code_review,spatial,medium,code_review workflow case 131,Operator receives mixed-signal evidence packet #131,Resolve case 131 under policy constraints and provide final action,ART-00131,true
EV_0132,clinical_admin,spatial,medium,clinical_admin workflow case 132,Operator receives mixed-signal evidence packet #132,Resolve case 132 under policy constraints and provide final action,ART-00132,true
EV_0133,incident_triage,social,low,incident_triage workflow case 133,Operator receives mixed-signal evidence packet #133,Resolve case 133 under policy constraints and provide final action,ART-00133,true
EV_0134,supply_chain,factual,medium,supply_chain workflow case 134,Operator receives mixed-signal evidence packet #134,Resolve case 134 under policy constraints and provide final action,ART-00134,true
EV_0135,code_review,spatial,low,code_review workflow case 135,Operator receives mixed-signal evidence packet #135,Resolve case 135 under policy constraints and provide final action,ART-00135,true
EV_0136,supply_chain,logical,low,supply_chain workflow case 136,Operator receives mixed-signal evidence packet #136,Resolve case 136 under policy constraints and provide final action,ART-00136,true
EV_0137,legal_intake,social,low,legal_intake workflow case 137,Operator receives mixed-signal evidence packet #137,Resolve case 137 under policy constraints and provide final action,ART-00137,true
EV_0138,sales_ops,procedural,low,sales_ops workflow case 138,Operator receives mixed-signal evidence packet #138,Resolve case 138 under policy constraints and provide final action,ART-00138,true
EV_0139,supply_chain,factual,low,supply_chain workflow case 139,Operator receives mixed-signal evidence packet #139,Resolve case 139 under policy constraints and provide final action,ART-00139,true
EV_0140,clinical_admin,factual,low,clinical_admin workflow case 140,Operator receives mixed-signal evidence packet #140,Resolve case 140 under policy constraints and provide final action,ART-00140,true
EV_0141,fraud_screening,arithmetic,medium,fraud_screening workflow case 141,Operator receives mixed-signal evidence packet #141,Resolve case 141 under policy constraints and provide final action,ART-00141,true
EV_0142,fraud_screening,procedural,medium,fraud_screening workflow case 142,Operator receives mixed-signal evidence packet #142,Resolve case 142 under policy constraints and provide final action,ART-00142,true
EV_0143,fraud_screening,arithmetic,medium,fraud_screening workflow case 143,Operator receives mixed-signal evidence packet #143,Resolve case 143 under policy constraints and provide final action,ART-00143,true
EV_0144,legal_intake,logical,low,legal_intake workflow case 144,Operator receives mixed-signal evidence packet #144,Resolve case 144 under policy constraints and provide final action,ART-00144,true
EV_0145,code_review,temporal,low,code_review workflow case 145,Operator receives mixed-signal evidence packet #145,Resolve case 145 under policy constraints and provide final action,ART-00145,true
EV_0146,sales_ops,logical,critical,sales_ops workflow case 146,Operator receives mixed-signal evidence packet #146,Resolve case 146 under policy constraints and provide final action,ART-00146,true
EV_0147,legal_intake,temporal,medium,legal_intake workflow case 147,Operator receives mixed-signal evidence packet #147,Resolve case 147 under policy constraints and provide final action,ART-00147,true
EV_0148,sales_ops,logical,high,sales_ops workflow case 148,Operator receives mixed-signal evidence packet #148,Resolve case 148 under policy constraints and provide final action,ART-00148,true
EV_0149,sales_ops,arithmetic,high,sales_ops workflow case 149,Operator receives mixed-signal evidence packet #149,Resolve case 149 under policy constraints and provide final action,ART-00149,true
EV_0150,incident_triage,social,low,incident_triage workflow case 150,Operator receives mixed-signal evidence packet #150,Resolve case 150 under policy constraints and provide final action,ART-00150,true
EV_0151,clinical_admin,factual,medium,clinical_admin workflow case 151,Operator receives mixed-signal evidence packet #151,Resolve case 151 under policy constraints and provide final action,ART-00151,true
EV_0152,supply_chain,factual,low,supply_chain workflow case 152,Operator receives mixed-signal evidence packet #152,Resolve case 152 under policy constraints and provide final action,ART-00152,true
EV_0153,sales_ops,logical,low,sales_ops workflow case 153,Operator receives mixed-signal evidence packet #153,Resolve case 153 under policy constraints and provide final action,ART-00153,true
EV_0154,billing_support,procedural,low,billing_support workflow case 154,Operator receives mixed-signal evidence packet #154,Resolve case 154 under policy constraints and provide final action,ART-00154,true
EV_0155,supply_chain,logical,low,supply_chain workflow case 155,Operator receives mixed-signal evidence packet #155,Resolve case 155 under policy constraints and provide final action,ART-00155,true
EV_0156,billing_support,spatial,high,billing_support workflow case 156,Operator receives mixed-signal evidence packet #156,Resolve case 156 under policy constraints and provide final action,ART-00156,true
EV_0157,supply_chain,factual,medium,supply_chain workflow case 157,Operator receives mixed-signal evidence packet #157,Resolve case 157 under policy constraints and provide final action,ART-00157,true
EV_0158,billing_support,factual,medium,billing_support workflow case 158,Operator receives mixed-signal evidence packet #158,Resolve case 158 under policy constraints and provide final action,ART-00158,true
EV_0159,incident_triage,social,medium,incident_triage workflow case 159,Operator receives mixed-signal evidence packet #159,Resolve case 159 under policy constraints and provide final action,ART-00159,true
EV_0160,clinical_admin,arithmetic,high,clinical_admin workflow case 160,Operator receives mixed-signal evidence packet #160,Resolve case 160 under policy constraints and provide final action,ART-00160,true
EV_0161,legal_intake,social,critical,legal_intake workflow case 161,Operator receives mixed-signal evidence packet #161,Resolve case 161 under policy constraints and provide final action,ART-00161,true
EV_0162,supply_chain,factual,low,supply_chain workflow case 162,Operator receives mixed-signal evidence packet #162,Resolve case 162 under policy constraints and provide final action,ART-00162,true
EV_0163,code_review,factual,high,code_review workflow case 163,Operator receives mixed-signal evidence packet #163,Resolve case 163 under policy constraints and provide final action,ART-00163,true
EV_0164,legal_intake,factual,high,legal_intake workflow case 164,Operator receives mixed-signal evidence packet #164,Resolve case 164 under policy constraints and provide final action,ART-00164,true
EV_0165,legal_intake,factual,medium,legal_intake workflow case 165,Operator receives mixed-signal evidence packet #165,Resolve case 165 under policy constraints and provide final action,ART-00165,true
EV_0166,legal_intake,arithmetic,low,legal_intake workflow case 166,Operator receives mixed-signal evidence packet #166,Resolve case 166 under policy constraints and provide final action,ART-00166,true
EV_0167,incident_triage,social,high,incident_triage workflow case 167,Operator receives mixed-signal evidence packet #167,Resolve case 167 under policy constraints and provide final action,ART-00167,true
EV_0168,sales_ops,arithmetic,medium,sales_ops workflow case 168,Operator receives mixed-signal evidence packet #168,Resolve case 168 under policy constraints and provide final action,ART-00168,true
EV_0169,incident_triage,social,low,incident_triage workflow case 169,Operator receives mixed-signal evidence packet #169,Resolve case 169 under policy constraints and provide final action,ART-00169,true
EV_0170,code_review,logical,low,code_review workflow case 170,Operator receives mixed-signal evidence packet #170,Resolve case 170 under policy constraints and provide final action,ART-00170,true
EV_0171,incident_triage,arithmetic,low,incident_triage workflow case 171,Operator receives mixed-signal evidence packet #171,Resolve case 171 under policy constraints and provide final action,ART-00171,true
EV_0172,supply_chain,factual,high,supply_chain workflow case 172,Operator receives mixed-signal evidence packet #172,Resolve case 172 under policy constraints and provide final action,ART-00172,true
EV_0173,code_review,arithmetic,low,code_review workflow case 173,Operator receives mixed-signal evidence packet #173,Resolve case 173 under policy constraints and provide final action,ART-00173,true
EV_0174,sales_ops,logical,high,sales_ops workflow case 174,Operator receives mixed-signal evidence packet #174,Resolve case 174 under policy constraints and provide final action,ART-00174,true
EV_0175,supply_chain,linguistic,low,supply_chain workflow case 175,Operator receives mixed-signal evidence packet #175,Resolve case 175 under policy constraints and provide final action,ART-00175,true
EV_0176,legal_intake,arithmetic,high,legal_intake workflow case 176,Operator receives mixed-signal evidence packet #176,Resolve case 176 under policy constraints and provide final action,ART-00176,true
EV_0177,supply_chain,factual,medium,supply_chain workflow case 177,Operator receives mixed-signal evidence packet #177,Resolve case 177 under policy constraints and provide final action,ART-00177,true
EV_0178,supply_chain,logical,low,supply_chain workflow case 178,Operator receives mixed-signal evidence packet #178,Resolve case 178 under policy constraints and provide final action,ART-00178,true
EV_0179,legal_intake,social,high,legal_intake workflow case 179,Operator receives mixed-signal evidence packet #179,Resolve case 179 under policy constraints and provide final action,ART-00179,true
EV_0180,legal_intake,arithmetic,low,legal_intake workflow case 180,Operator receives mixed-signal evidence packet #180,Resolve case 180 under policy constraints and provide final action,ART-00180,true
EV_0181,supply_chain,linguistic,low,supply_chain workflow case 181,Operator receives mixed-signal evidence packet #181,Resolve case 181 under policy constraints and provide final action,ART-00181,true
