item_id,task_id,domain_a,domain_b,correct_answer_a,correct_answer_b,answer_type_a,answer_type_b
HB_EXP9_0105,fixed_log_fac_024_04,logical,factual,This shape is not a square,6,short_text,exact_numeric
HB_EXP9_0106,fixed_log_fac_024_02,logical,factual,organism X is not a living organism by that definition,photosynthesis,short_text,short_text
HB_EXP9_0107,fixed_log_fac_024_00,logical,factual,yes,nitrogen,boolean,short_text
HB_EXP9_0108,fixed_log_fac_024_05,logical,factual,yes,nitrogen,boolean,short_text
HB_EXP9_0109,fixed_fac_pro_030_08,factual,procedural,Na,no,short_text,boolean
HB_EXP9_0110,fixed_fac_pro_aug_002,factual,procedural,carbon dioxide,no,short_text,boolean
HB_EXP9_0111,fixed_fac_pro_030_07,factual,procedural,60 to 100,no,short_text,boolean
HB_EXP9_0112,fixed_fac_pro_030_04,factual,procedural,"An object at rest stays at rest, and an object in motion stays in motion, unless acted upon by an external force.",no,short_text,boolean
HB_EXP9_0113,fixed_fac_pro_030_03,factual,procedural,Na,no,short_text,boolean
HB_EXP9_0114,fixed_fac_pro_aug_000,factual,procedural,carbon dioxide,no,short_text,boolean
HB_EXP9_0115,fixed_fac_pro_030_01,factual,procedural,cardiopulmonary resuscitation,no,short_text,boolean
HB_EXP9_0116,fixed_fac_pro_030_06,factual,procedural,cardiopulmonary resuscitation,no,short_text,boolean
HB_EXP9_0117,fixed_fac_pro_030_02,factual,procedural,60 to 100,no,short_text,boolean
HB_EXP9_0118,fixed_fac_pro_aug_001,factual,procedural,60 to 100,no,short_text,boolean
HB_EXP9_0119,fixed_fac_pro_030_00,factual,procedural,carbon dioxide,no,short_text,boolean
HB_EXP9_0120,fixed_fac_pro_030_05,factual,procedural,carbon dioxide,no,short_text,boolean
HB_EXP9_0121,fixed_fac_soc_029_07,factual,social,carbon dioxide,A,short_text,multiple_choice
HB_EXP9_0122,fixed_fac_soc_029_02,factual,social,carbon dioxide,A,short_text,multiple_choice
HB_EXP9_0123,fixed_fac_soc_029_03,factual,social,C,equitable participation or turn-taking,multiple_choice,short_text
HB_EXP9_0124,fixed_fac_soc_029_08,factual,social,C,equitable participation or turn-taking,multiple_choice,short_text
HB_EXP9_0125,fixed_fac_soc_029_05,factual,social,C,Receive with both hands and examine it respectfully.,multiple_choice,short_text
HB_EXP9_0126,fixed_fac_soc_029_00,factual,social,C,Receive with both hands and examine it respectfully.,multiple_choice,short_text
HB_EXP9_0127,fixed_soc_fac_026_06,social,factual,turn-taking or active listening norms,C,short_text,multiple_choice
HB_EXP9_0128,fixed_soc_fac_026_04,social,factual,no,Jane Austen,boolean,short_text
HB_EXP9_0129,fixed_soc_fac_026_01,social,factual,turn-taking or active listening norms,C,short_text,multiple_choice
HB_EXP9_0130,fixed_soc_fac_026_05,social,factual,B,1948,multiple_choice,exact_numeric
HB_EXP9_0131,fixed_fac_soc_029_06,factual,social,1990s,B,short_text,multiple_choice
HB_EXP9_0132,fixed_fac_soc_029_04,factual,social,1969,yes,exact_numeric,boolean
HB_EXP9_0133,fixed_spa_fac_012_07,spatial,factual,0.000524,cell,exact_numeric,short_text
HB_EXP9_0134,fixed_spa_fac_012_02,spatial,factual,0.000524,cell,exact_numeric,short_text
HB_EXP9_0135,fixed_spa_fac_012_04,spatial,factual,440,Mariana Trench,exact_numeric,short_text
HB_EXP9_0136,fixed_fac_spa_aug_001,factual,spatial,cell,440,short_text,exact_numeric
HB_EXP9_0137,fixed_spa_fac_012_06,spatial,factual,1350,Paris,exact_numeric,short_text
HB_EXP9_0138,fixed_spa_fac_012_01,spatial,factual,1350,Paris,exact_numeric,short_text
HB_EXP9_0139,fixed_fac_spa_aug_002,factual,spatial,cell,86,short_text,exact_numeric
HB_EXP9_0140,fixed_fac_spa_aug_000,factual,spatial,Russia,1350,short_text,exact_numeric
HB_EXP9_0141,fixed_spa_fac_012_03,spatial,factual,86,5,exact_numeric,exact_numeric
HB_EXP9_0142,fixed_spa_fac_012_05,spatial,factual,17300000,Russia,exact_numeric,short_text
HB_EXP9_0143,fixed_spa_fac_012_00,spatial,factual,17300000,Russia,exact_numeric,short_text
HB_EXP9_0144,fixed_spa_fac_012_08,spatial,factual,86,5,exact_numeric,exact_numeric
HB_EXP9_0145,fixed_tem_fac_017_02,temporal,factual,7.5 hours,Nile,short_text,short_text
HB_EXP9_0146,fixed_tem_fac_017_04,temporal,factual,1.9,8,exact_numeric,exact_numeric
HB_EXP9_0147,fixed_tem_fac_017_07,temporal,factual,7.5 hours,Nile,short_text,short_text
HB_EXP9_0148,fixed_fac_tem_aug_002,factual,temporal,mitochondria,7.5 hours,short_text,short_text
HB_EXP9_0149,fixed_fac_tem_aug_001,factual,temporal,8,7.5 hours,exact_numeric,short_text
HB_EXP9_0150,fixed_fac_tem_aug_000,factual,temporal,mitochondria,1.9,short_text,exact_numeric
HB_EXP9_0151,fixed_tem_fac_017_06,temporal,factual,25,mitochondria,exact_numeric,short_text
HB_EXP9_0152,fixed_tem_fac_017_05,temporal,factual,4,George Washington,exact_numeric,short_text
HB_EXP9_0153,fixed_tem_fac_017_08,temporal,factual,120,France,exact_numeric,short_text
HB_EXP9_0154,fixed_tem_fac_017_01,temporal,factual,25,mitochondria,exact_numeric,short_text
HB_EXP9_0155,fixed_tem_fac_017_03,temporal,factual,120,France,exact_numeric,short_text
HB_EXP9_0156,fixed_tem_fac_017_00,temporal,factual,4,George Washington,exact_numeric,short_text
HB_EXP9_0157,fixed_lin_log_019_01,linguistic,logical,needs,B,short_text,multiple_choice
HB_EXP9_0158,fixed_lin_log_019_07,linguistic,logical,me,no,short_text,boolean
HB_EXP9_0159,fixed_log_lin_023_02,logical,linguistic,yes,The team completed the audit on Friday.,boolean,short_text
HB_EXP9_0160,fixed_lin_log_019_02,linguistic,logical,me,no,short_text,boolean
HB_EXP9_0161,fixed_log_lin_023_07,logical,linguistic,yes,The team completed the audit on Friday.,boolean,short_text
HB_EXP9_0162,fixed_log_lin_023_03,logical,linguistic,true,C,boolean,multiple_choice
HB_EXP9_0163,fixed_lin_log_019_06,linguistic,logical,needs,B,short_text,multiple_choice
HB_EXP9_0164,fixed_log_lin_023_04,logical,linguistic,no,less should be fewer,boolean,short_text
HB_EXP9_0165,fixed_log_lin_023_08,logical,linguistic,true,C,boolean,multiple_choice
HB_EXP9_0166,fixed_lin_log_019_04,linguistic,logical,B,no,multiple_choice,boolean
HB_EXP9_0167,fixed_log_lin_023_05,logical,linguistic,A,The manager will terminate any employee who makes errors on the report.,multiple_choice,short_text
HB_EXP9_0168,fixed_lin_log_019_03,linguistic,logical,adverb,B,short_text,multiple_choice
HB_EXP9_0169,fixed_lin_pro_022_02,linguistic,procedural,D,no,multiple_choice,boolean
HB_EXP9_0170,fixed_lin_pro_022_07,linguistic,procedural,D,no,multiple_choice,boolean
HB_EXP9_0171,fixed_lin_pro_aug_000,linguistic,procedural,B,no,multiple_choice,boolean
HB_EXP9_0172,fixed_lin_pro_022_06,linguistic,procedural,B,no,multiple_choice,boolean
HB_EXP9_0173,fixed_lin_pro_022_08,linguistic,procedural,B,no,multiple_choice,boolean
HB_EXP9_0174,fixed_lin_pro_022_04,linguistic,procedural,are should be is,no,short_text,boolean
HB_EXP9_0175,fixed_lin_pro_aug_002,linguistic,procedural,B,no,multiple_choice,boolean
HB_EXP9_0176,fixed_lin_pro_022_03,linguistic,procedural,B,no,multiple_choice,boolean
HB_EXP9_0177,fixed_lin_pro_022_01,linguistic,procedural,B,no,multiple_choice,boolean
HB_EXP9_0178,fixed_lin_pro_022_00,linguistic,procedural,B,no,multiple_choice,boolean
HB_EXP9_0179,fixed_lin_pro_022_05,linguistic,procedural,B,no,multiple_choice,boolean
HB_EXP9_0180,fixed_lin_pro_aug_001,linguistic,procedural,B,no,multiple_choice,boolean
HB_EXP9_0181,fixed_lin_soc_021_04,linguistic,social,B,B,multiple_choice,multiple_choice
HB_EXP9_0182,fixed_lin_soc_021_05,linguistic,social,B,C,multiple_choice,multiple_choice
HB_EXP9_0183,fixed_lin_soc_021_07,linguistic,social,All targets were exceeded by the team.,D,short_text,multiple_choice
HB_EXP9_0184,fixed_lin_soc_021_06,linguistic,social,A,B,multiple_choice,multiple_choice
HB_EXP9_0185,fixed_lin_soc_021_02,linguistic,social,All targets were exceeded by the team.,D,short_text,multiple_choice
HB_EXP9_0186,fixed_lin_soc_aug_000,linguistic,social,A,B,multiple_choice,multiple_choice
HB_EXP9_0187,fixed_lin_soc_aug_001,linguistic,social,A,C,multiple_choice,multiple_choice
HB_EXP9_0188,fixed_lin_soc_aug_004,linguistic,social,C,D,multiple_choice,multiple_choice
HB_EXP9_0189,fixed_lin_soc_021_01,linguistic,social,A,B,multiple_choice,multiple_choice
HB_EXP9_0190,fixed_lin_soc_021_00,linguistic,social,B,C,multiple_choice,multiple_choice
HB_EXP9_0191,fixed_lin_soc_021_08,linguistic,social,C,C,multiple_choice,multiple_choice
HB_EXP9_0192,fixed_lin_soc_021_03,linguistic,social,C,C,multiple_choice,multiple_choice
HB_EXP9_0193,fixed_spa_lin_009_04,spatial,linguistic,23400,A,exact_numeric,multiple_choice
HB_EXP9_0194,fixed_lin_spa_aug_000,linguistic,spatial,A,1800,multiple_choice,exact_numeric
HB_EXP9_0195,fixed_lin_spa_aug_001,linguistic,spatial,analyses,91,short_text,exact_numeric
HB_EXP9_0196,fixed_spa_lin_009_07,spatial,linguistic,91,metaphor,exact_numeric,short_text
HB_EXP9_0197,fixed_spa_lin_009_02,spatial,linguistic,91,metaphor,exact_numeric,short_text
HB_EXP9_0198,fixed_spa_lin_009_08,spatial,linguistic,0.28,B,exact_numeric,multiple_choice
HB_EXP9_0199,fixed_spa_lin_009_03,spatial,linguistic,0.28,B,exact_numeric,multiple_choice
HB_EXP9_0200,fixed_spa_lin_009_00,spatial,linguistic,1800,was should be were,exact_numeric,short_text
HB_EXP9_0201,fixed_spa_lin_009_01,spatial,linguistic,23.1,analyses,exact_numeric,short_text
HB_EXP9_0202,fixed_spa_lin_009_05,spatial,linguistic,1800,was should be were,exact_numeric,short_text
HB_EXP9_0203,fixed_spa_lin_009_06,spatial,linguistic,23.1,analyses,exact_numeric,short_text
HB_EXP9_0204,fixed_lin_spa_aug_002,linguistic,spatial,B,1800,multiple_choice,exact_numeric
HB_EXP9_0205,fixed_lin_tem_aug_003,linguistic,temporal,B,February 12,multiple_choice,short_text
HB_EXP9_0206,fixed_lin_tem_aug_002,linguistic,temporal,needs,5 hours 45 minutes,short_text,short_text
HB_EXP9_0207,fixed_lin_tem_aug_007,linguistic,temporal,C,yes,multiple_choice,boolean
HB_EXP9_0208,fixed_lin_tem_aug_000,linguistic,temporal,drank should be drunk,4:35 PM,short_text,short_text
HB_EXP9_0209,fixed_lin_tem_aug_011,linguistic,temporal,me,7.5,short_text,exact_numeric
HB_EXP9_0210,fixed_lin_tem_aug_001,linguistic,temporal,B,yes,multiple_choice,boolean
HB_EXP9_0211,fixed_lin_tem_aug_004,linguistic,temporal,The circuit was designed by the engineer.,Thursday at 5:00 PM,short_text,short_text
HB_EXP9_0212,fixed_lin_tem_aug_009,linguistic,temporal,B,53.5,multiple_choice,exact_numeric
HB_EXP9_0213,fixed_lin_tem_aug_008,linguistic,temporal,C,April 21,multiple_choice,short_text
HB_EXP9_0214,fixed_lin_tem_aug_005,linguistic,temporal,adverb,15 weeks,short_text,short_text
HB_EXP9_0215,fixed_lin_tem_aug_006,linguistic,temporal,was should be were,6 hours 15 minutes,short_text,short_text
HB_EXP9_0216,fixed_lin_tem_aug_010,linguistic,temporal,B,8.5,multiple_choice,exact_numeric
HB_EXP9_0217,fixed_pro_log_032_04,procedural,logical,no,yes,boolean,boolean
HB_EXP9_0218,fixed_pro_log_032_08,procedural,logical,no,no,boolean,boolean
HB_EXP9_0219,fixed_pro_log_032_03,procedural,logical,no,no,boolean,boolean
HB_EXP9_0220,fixed_log_pro_aug_001,logical,procedural,no,yes,boolean,boolean
HB_EXP9_0221,fixed_log_pro_aug_000,logical,procedural,no,no,boolean,boolean
HB_EXP9_0222,fixed_log_pro_aug_002,logical,procedural,no,no,boolean,boolean
HB_EXP9_0223,fixed_pro_log_032_02,procedural,logical,no,no,boolean,boolean
HB_EXP9_0224,fixed_pro_log_032_00,procedural,logical,yes,yes,boolean,boolean
HB_EXP9_0225,fixed_pro_log_032_06,procedural,logical,no,no,boolean,boolean
HB_EXP9_0226,fixed_pro_log_032_07,procedural,logical,no,no,boolean,boolean
HB_EXP9_0227,fixed_pro_log_032_01,procedural,logical,no,no,boolean,boolean
HB_EXP9_0228,fixed_pro_log_032_05,procedural,logical,yes,yes,boolean,boolean
HB_EXP9_0229,fixed_log_soc_025_02,logical,social,no,B,boolean,multiple_choice
HB_EXP9_0230,fixed_log_soc_aug_001,logical,social,no,B,boolean,multiple_choice
HB_EXP9_0231,fixed_log_soc_025_07,logical,social,no,B,boolean,multiple_choice
HB_EXP9_0232,fixed_log_soc_025_08,logical,social,no,A,boolean,multiple_choice
HB_EXP9_0233,fixed_log_soc_aug_000,logical,social,no,A,boolean,multiple_choice
HB_EXP9_0234,fixed_log_soc_025_05,logical,social,yes,B,boolean,multiple_choice
HB_EXP9_0235,fixed_log_soc_025_00,logical,social,yes,B,boolean,multiple_choice
HB_EXP9_0236,fixed_log_soc_aug_003,logical,social,no,B,boolean,multiple_choice
HB_EXP9_0237,fixed_log_soc_025_03,logical,social,no,A,boolean,multiple_choice
HB_EXP9_0238,fixed_log_soc_025_04,logical,social,yes,C,boolean,multiple_choice
HB_EXP9_0239,fixed_log_soc_025_06,logical,social,no,C,boolean,multiple_choice
HB_EXP9_0240,fixed_log_soc_025_01,logical,social,no,C,boolean,multiple_choice
HB_EXP9_0241,fixed_spa_log_010_05,spatial,logical,100,yes,exact_numeric,boolean
HB_EXP9_0242,fixed_spa_log_010_04,spatial,logical,3496,yes,exact_numeric,boolean
HB_EXP9_0243,fixed_spa_log_010_00,spatial,logical,100,yes,exact_numeric,boolean
HB_EXP9_0244,fixed_spa_log_010_08,spatial,logical,23,5,exact_numeric,exact_numeric
HB_EXP9_0245,fixed_log_spa_aug_002,logical,spatial,5,23,exact_numeric,exact_numeric
HB_EXP9_0246,fixed_spa_log_010_03,spatial,logical,23,5,exact_numeric,exact_numeric
HB_EXP9_0247,fixed_log_spa_aug_000,logical,spatial,yes,100,boolean,exact_numeric
HB_EXP9_0248,fixed_log_spa_aug_001,logical,spatial,no,141.3,boolean,exact_numeric
HB_EXP9_0249,fixed_spa_log_010_07,spatial,logical,141.3,no,exact_numeric,boolean
HB_EXP9_0250,fixed_spa_log_010_06,spatial,logical,1200,no,exact_numeric,boolean
HB_EXP9_0251,fixed_spa_log_010_02,spatial,logical,141.3,no,exact_numeric,boolean
HB_EXP9_0252,fixed_spa_log_010_01,spatial,logical,1200,no,exact_numeric,boolean
HB_EXP9_0253,fixed_log_tem_aug_000,logical,temporal,no,February 1,boolean,short_text
HB_EXP9_0254,fixed_tem_log_015_04,temporal,logical,February 1,yes,short_text,boolean
HB_EXP9_0255,fixed_tem_log_015_01,temporal,logical,March 10,yes,short_text,boolean
HB_EXP9_0256,fixed_tem_log_015_02,temporal,logical,12:00 AM (midnight),no,short_text,boolean
HB_EXP9_0257,fixed_log_tem_aug_002,logical,temporal,yes,"April 14, 2024",boolean,short_text
HB_EXP9_0258,fixed_tem_log_015_08,temporal,logical,April 1,Q2 crew,short_text,short_text
HB_EXP9_0259,fixed_tem_log_015_05,temporal,logical,"April 14, 2024",yes,short_text,boolean
HB_EXP9_0260,fixed_tem_log_015_03,temporal,logical,April 1,Q2 crew,short_text,short_text
HB_EXP9_0261,fixed_tem_log_015_07,temporal,logical,12:00 AM (midnight),no,short_text,boolean
HB_EXP9_0262,fixed_tem_log_015_06,temporal,logical,March 10,yes,short_text,boolean
HB_EXP9_0263,fixed_tem_log_015_00,temporal,logical,"April 14, 2024",yes,short_text,boolean
HB_EXP9_0264,fixed_log_tem_aug_001,logical,temporal,yes,April 1,boolean,short_text
HB_EXP9_0265,fixed_soc_pro_027_04,social,procedural,D,no,multiple_choice,boolean
HB_EXP9_0266,fixed_soc_pro_027_01,social,procedural,impartiality and procedural fairness,no,short_text,boolean
HB_EXP9_0267,fixed_soc_pro_027_06,social,procedural,impartiality and procedural fairness,no,short_text,boolean
HB_EXP9_0268,fixed_pro_soc_aug_002,procedural,social,no,C,boolean,multiple_choice
HB_EXP9_0269,fixed_soc_pro_027_07,social,procedural,deferred judgment or withhold criticism,no,short_text,boolean
