request_id,model_latency_ms,resolver_latency_ms,total_latency_ms,cost_usd,tokens_in,tokens_out
EV_0187,1211,2079,3290,0.006860,2282,883
EV_0188,1514,14384,15898,9.283263,2312,604
EV_0189,820,20189,21009,10.093810,2468,163
EV_0190,1522,19084,20606,4.054440,2119,800
EV_0191,1274,13196,14470,7.465035,1763,427
EV_0192,1411,4850,6261,13.122530,2123,876
EV_0193,877,11758,12635,4.862260,2141,530
EV_0194,964,9432,10396,6.374815,717,186
EV_0195,1268,1926,3194,0.008320,365,651
EV_0196,1166,5501,6667,12.408950,1532,776
EV_0197,617,9575,10192,8.855817,1125,615
EV_0198,360,1957,2317,0.007850,1076,787
EV_0199,410,9407,9817,0.895890,426,878
EV_0200,1452,12046,13498,5.383860,2774,177
EV_0201,1468,12498,13966,8.749880,1138,807
EV_0202,587,13934,14521,3.309557,1439,92
EV_0203,1010,10296,11306,11.282290,1717,394
EV_0204,1136,8291,9427,7.546890,2070,894
EV_0205,1170,11293,12463,5.391230,1489,802
EV_0206,1313,13196,14509,10.647270,960,950
EV_0207,1382,12834,14216,1.585050,2280,803
EV_0208,1260,19441,20701,2.494030,724,144
EV_0209,424,16715,17139,7.879380,552,825
EV_0210,936,1317,2253,0.014180,2289,592
EV_0211,700,12956,13656,7.686650,374,803
EV_0212,1201,11937,13138,7.270230,2759,902
EV_0213,1072,6313,7385,5.214470,1050,720
EV_0214,1461,15805,17266,8.026660,651,639
EV_0215,688,11174,11862,0.941960,1506,650
EV_0216,1493,2788,4281,2.094100,357,699
EV_0217,562,12662,13224,1.693250,555,106
EV_0218,1516,16689,18205,8.719180,268,166
EV_0219,1179,1114,2293,0.016830,1544,761
EV_0220,357,12831,13188,8.360727,1271,680
EV_0221,618,8018,8636,3.866010,1080,884
EV_0222,1046,2107,3153,0.013640,1104,207
EV_0223,1280,8643,9923,5.756930,1541,893
EV_0224,356,6466,6822,2.325060,2340,737
EV_0225,973,9529,10502,6.377393,512,389
EV_0226,1282,1876,3158,0.015090,2456,588
EV_0227,1414,7661,9075,7.600470,2178,81
EV_0228,1540,15157,16697,3.675000,946,721
EV_0229,1224,2106,3330,0.010080,2190,321
EV_0230,380,15168,15548,2.868590,412,103
EV_0231,678,8551,9229,1.507300,2800,738
EV_0232,522,14882,15404,7.071840,2617,794
EV_0233,404,10611,11015,9.557450,657,892
EV_0234,1328,1271,2599,0.012230,2354,974
EV_0235,429,1853,2282,0.016320,1921,702
EV_0236,501,2453,2954,0.007880,1452,855
EV_0237,520,13280,13800,4.296890,1195,663
EV_0238,844,13665,14509,7.698950,2639,587
EV_0239,978,1673,2651,0.013940,247,643
EV_0240,771,12671,13442,5.975113,1737,250
EV_0241,1422,11062,12484,6.204830,1622,652
EV_0242,799,2040,2839,5.300100,2354,794
EV_0243,633,12805,13438,2.350560,1899,167
EV_0244,364,15539,15903,7.384350,1036,941
EV_0245,762,19908,20670,5.676860,2349,560
EV_0246,794,11117,11911,6.758437,1962,310
EV_0247,518,1609,2127,0.009840,487,478
EV_0248,532,1619,2151,0.005220,1215,534
EV_0249,647,18761,19408,6.651530,2649,815
EV_0250,861,1047,1908,0.012370,2084,365
EV_0251,484,1227,1711,3.526070,1749,680
EV_0252,466,11789,12255,10.260310,2308,713
EV_0253,1431,8844,10275,8.194703,1374,444
EV_0254,793,9681,10474,0.501200,1271,387
EV_0255,1427,16508,17935,3.264270,550,770
EV_0256,1007,1702,2709,0.015740,2762,466
EV_0257,757,16583,17340,13.411050,1562,519
EV_0258,948,1708,2656,0.014680,1021,791
EV_0259,527,1484,2011,0.014600,621,543
EV_0260,935,9685,10620,4.750580,1659,301
EV_0261,1178,6909,8087,7.863250,2207,506
EV_0262,1007,20256,21263,2.244570,1831,813
EV_0263,562,18322,18884,5.054250,1861,871
EV_0264,899,12425,13324,6.866085,2067,438
EV_0265,747,6827,7574,9.232000,1509,665
EV_0266,654,13341,13995,6.870520,944,112
EV_0267,698,2214,2912,0.015580,2075,966
EV_0268,1056,7170,8226,4.606510,603,337
EV_0269,1222,11136,12358,9.040620,2174,655
EV_0270,607,5085,5692,1.573380,2715,595
EV_0271,542,7323,7865,5.584100,829,928
EV_0272,999,12816,13815,8.941970,2516,326
EV_0273,946,4797,5743,7.938320,1259,724
EV_0274,684,4931,5615,4.468910,2042,318
EV_0275,1257,8388,9645,9.630950,1784,543
EV_0276,1288,4024,5312,10.584670,510,86
EV_0277,908,13300,14208,4.111850,1539,977
EV_0278,1009,13726,14735,0.331160,354,828
EV_0279,366,9944,10310,2.659710,2320,290
EV_0280,1230,2371,3601,0.016290,609,739
EV_0281,1010,11238,12248,7.339450,1668,467
EV_0282,707,14116,14823,6.668630,980,197
EV_0283,1478,11211,12689,10.202460,1055,827
EV_0284,354,15017,15371,4.918360,304,591
EV_0285,1346,11308,12654,12.024020,2705,750
EV_0286,769,20757,21526,7.913830,912,555
EV_0287,1162,17091,18253,10.344953,265,560
EV_0288,1073,10663,11736,2.438280,598,112
EV_0289,456,9507,9963,9.505450,1629,968
EV_0290,977,2391,3368,0.006530,1908,419
EV_0291,1358,6773,8131,7.123157,326,611
EV_0292,1330,799,2129,8.516090,1282,141
EV_0293,1100,2168,3268,0.006870,460,232
EV_0294,653,9288,9941,8.319300,2188,483
EV_0295,450,12213,12663,11.148980,271,318
EV_0296,1182,20982,22164,8.529580,2066,400
EV_0297,1272,1989,3261,0.008940,2305,215
EV_0298,1381,3703,5084,11.197210,947,461
EV_0299,890,2462,3352,0.008490,557,94
EV_0300,1294,15543,16837,7.509577,2225,745
EV_0301,532,11247,11779,7.037710,2156,712
EV_0302,908,2856,3764,6.838427,1861,847
EV_0303,446,11326,11772,10.793390,1241,459
EV_0304,593,4364,4957,10.177120,2206,462
EV_0305,1396,12806,14202,5.005340,1287,222
EV_0306,1262,11599,12861,10.954940,313,462
EV_0307,544,19943,20487,9.532590,883,410
EV_0308,901,12945,13846,10.800980,310,661
EV_0309,1098,9481,10579,8.549677,2550,706
EV_0310,949,14921,15870,4.253720,1359,854
EV_0311,760,10132,10892,7.164920,2163,943
EV_0312,714,1763,2477,0.011300,1082,183
EV_0313,738,11453,12191,6.112990,270,649
EV_0314,1437,1038,2475,0.017800,2121,476
EV_0315,513,20320,20833,13.758870,2341,848
EV_0316,1288,15689,16977,4.814150,755,445
EV_0317,1456,18034,19490,11.166780,2048,716
EV_0318,898,12590,13488,6.262100,566,392
EV_0319,735,8537,9272,12.847320,1267,845
EV_0320,1230,5704,6934,8.584970,354,630
